"schoolname","districtname","state_district_id","state_school_id","lat","lon","nces_id"
"WILLIAM H. FRAZIER ELEMENTARY","FALLBROOK UNION ELEMENTARY","68114","6116420",33.387033,-117.224734,"061350008301"
"WILLOW ELEMENTARY","SAN YSIDRO ELEMENTARY","68379","123000",32.548071,-117.041534,"063522012612"
"WILLOW GROVE ELEMENTARY","POWAY UNIFIED","68296","116764",32.993777,-117.162189,"063153012226"
"WILSON MIDDLE","SAN DIEGO UNIFIED","68338","6061980",32.753549,-117.111072,"063432005573"
"WINTER GARDENS ELEMENTARY","LAKESIDE UNION ELEMENTARY","68189","6038392",32.831395,-116.930265,"062079002499"
"WOLF CANYON ELEMENTARY","CHULA VISTA ELEMENTARY","68023","114009",32.61164,-116.974721,"060861011875"
"WOODLAND PARK MIDDLE","SAN MARCOS UNIFIED","73791","6095061",33.149149,-117.130559,"063488005895"
"ZAMORANO ELEMENTARY","SAN DIEGO UNIFIED","68338","6106199",32.680263,-117.037939,"063432008965"
"ACADEMIA DE TALAR","","","",NA,NA,"A1500131"
"ACADEMY OF OUR LADY OF PEACE","","","",NA,NA,"00077164"
"ALL HALLOWS ACADEMY","","","",NA,NA,"00076874"
"ALPHA AND OMEGA ACADEMY","","","",NA,NA,"A1500147"
"ARMY & NAVY ACADEMY","","","",NA,NA,"00080982"
"ASCENSION LUTHERAN SCHOOL","","","",NA,NA,"00093324"
"BALBOA CITY SCHOOL","","","",NA,NA,"A1500165"
"BANYAN TREE FOUNDATIONS ACADEMY","","","",NA,NA,"A1300147"
"BEAUTIFUL SAVIOUR LUTHERAN SCHOOL","","","",NA,NA,"00084003"
"BEREAN BIBLE BAPTIST ACADEMY","","","",NA,NA,"A0900229"
"BETH MONTESSORI PRESCHOOL","","","",NA,NA,"A1300155"
"BETHEL ACADEMY","","","",NA,NA,"A1500173"
"BLESSED SACRAMENT PARISH SCHOOL","","","",NA,NA,"00077324"
"BONITA COUNTRY DAY SCHOOL","","","",NA,NA,"A9500284"
"BONITA LEARNING ACADEMY","","","",NA,NA,"A0307091"
"BONITA ROAD CHRISTIAN SCHOOL","","","",NA,NA,"E9406129"
"CAL COAST ACADEMY","","","",NA,NA,"BB020488"
"CALVIN CHRISTIAN SCHOOL","","","",NA,NA,"00082924"
"CANYON RIDGE CHRISTIAN PREP","","","",NA,NA,"A1500199"
"CARLSBAD COUNTRY DAY SCHOOL","","","",NA,NA,"A1100110"
"CASE EDUCATIONAL PROGRAM","","","",NA,NA,"A1300178"
"CATHEDRAL CATHOLIC HIGH SCHOOL","","","",NA,NA,"A0900259"
"CENTRAL MONTESSORI SCHOOLS","","","",NA,NA,"A0750003"
"CHABAD HEBREW ACADEMY","","","",NA,NA,"AA890045"
"CHASE RANCH MONTESSORI SCHOOL","","","",NA,NA,"BB961381"
"CHILD'S PRIMARY SCHOOL","","","",NA,NA,"A9100660"
"CHILDRENS CREATIVE/PERFORMING ARTS ACAD SAN DIEGO","","","",NA,NA,"A0750006"
"CHRIST CHURCH DAY SCHOOL","","","",NA,NA,"00085029"
"CHRIST LUTHERAN SCHOOL","","","",NA,NA,"00082516"
"CHRIST THE CORNERSTONE LUTHERAN ACADEMY","","","",NA,NA,"02011848"
"CHRISTIAN ELEMENTARY SCHOOL - WEST CAMPUS","","","",NA,NA,"00085095"
"CHRISTIAN ELEMENTARY SCHOOL-EAST CAMPUS","","","",NA,NA,"01900044"
"CITY TREE CHRISTIAN SCHOOL","","","",NA,NA,"01899955"
