site,altnames,sponsor,district,is_school,schoolcode,districtcode
ASELTINE,"ASELTINE, ASELTINE SCHOOL",SAN DIEGO UNIFIED,,TRUE,,
ASHLEY FALLS ELEMENTARY,ASHLEY FALLS ELEMENTARY,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,TRUE,6115620,68056
AUDEO CHARTER,AUDEO CHARTER,,SAN DIEGO UNIFIED,TRUE,3731395,68338
AUDEO CHARTER II,AUDEO CHARTER II,,SBE - AUDEO CHARTER II,TRUE,134577,77032
AUDEO CHARTER SCHOOL III,AUDEO CHARTER SCHOOL III,,ESCONDIDO UNION HIGH,TRUE,137034,68106
AUDUBON K-8,AUDUBON K-8,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039143,68338
AUTUMN,,NEW HAVEN YOUTH AND FAMILY SERVICES,,TRUE,,
AVIARA OAKS ELEMENTARY,AVIARA OAKS ELEMENTARY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,6109201,73551
AVIARA OAKS MIDDLE,AVIARA OAKS MIDDLE,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,6118137,73551
AVOCADO ELEMENTARY,AVOCADO ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6069082,67991
AVONDALE ELEMENTARY,AVONDALE ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038400,68197
BAKER ELEMENTARY,BAKER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039150,68338
BALBOA CITY SCHOOL-ANNEX,BALBOA CITY SCHOOL-ANNEX,SAN DIEGO UNIFIED,,TRUE,,
BALBOA ELEMENTARY,BALBOA ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039168,68338
BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES,,VOLUNTEERS OF AMERICA,,TRUE,,
BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES - SAN BERNARDINO,,VOLUNTEERS OF AMERICA,,TRUE,,
BANCROFT ELEMENTARY,BANCROFT ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038418,68197
BANDINI PRIMARY,BANDINI PRIMARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,,
BARNARD ELEMENTARY,BARNARD ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039184,68338
BARNETT ELEMENTARY,BARNETT ELEMENTARY,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,TRUE,6110720,68304
BARRETT,BARRETT,SAN DIEGO CO PROBATION DEPT,,,,
BARONA INDIAN CHARTER,BARONA INDIAN CHARTER,,LAKESIDE UNION ELEMENTARY,TRUE,6120901,68189
BAY PARK ELEMENTARY,BAY PARK ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039200,68338
BAY POINT PRE K,,SAN DIEGO UNIFIED,,TRUE,,
BAYPOINT PREPARATORY ACADEMY - SAN DIEGO,BAYPOINT PREPARATORY ACADEMY - SAN DIEGO,,SBE - BAYPOINT PREPARATORY ACADEMY SAN DIEGO,TRUE,138099,77172
BAYSHORE PREPARATORY CHARTER,BAYSHORE PREPARATORY CHARTER,,SAN MARCOS UNIFIED,TRUE,109785,73791
BAYSIDE BLENDED COMMUNITY SCHOOL,BAYSIDE BLENDED COMMUNITY SCHOOL,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
BAYSIDE ELEMENTARY,BAYSIDE ELEMENTARY,,SOUTH BAY UNION,TRUE,6040463,68395
BAYSIDE STEAM ACADEMY,BAYSIDE STEAM ACADEMY,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6040463,68395
BAYVIEW CDC,BAYVIEW CDC,SAN DIEGO UNIFIED,,FALSE,,
BEACON CLASSICAL ACADEMY ELEMENTARY CHARTER,BEACON CLASSICAL ACADEMY ELEMENTARY CHARTER,,JULIAN UNION ELEMENTARY,TRUE,130815,68163
BEACON CLASSICAL ACADEMY NATIONAL CITY,BEACON CLASSICAL ACADEMY NATIONAL CITY,"BEACON CLASSICAL ACADEMY, INC.",NATIONAL ELEMENTARY,TRUE,132621,68221
BEAR VALLEY MIDDLE,BEAR VALLEY MIDDLE,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,102590,68098
BEAUMONT ELEMENTARY,BEAUMONT ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6040588,68452
BELL MIDDLE,BELL MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059588,68338
BELLA MENTE MONTESSORI ACADEMY,"BELLA MENTE MONTESSORI ACADEMY, BELLA MENTE ACADEMY",VISTA UNIFIED,VISTA UNIFIED,TRUE,128223,68452
BENCHLEY/WEINBERGER ELEMENTARY,BENCHLEY/WEINBERGER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6040299,68338
BERNARDO ELEMENTARY,BERNARDO ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,107870,68098
BERNARDO HEIGHTS MIDDLE,BERNARDO HEIGHTS MIDDLE,POWAY UNIFIED,POWAY UNIFIED,TRUE,6107460,68296
BETHUNE K-8,BETHUNE K-8,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6106173,68338
BIRD ROCK ELEMENTARY,BIRD ROCK ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039242,68338
BIRNEY ELEMENTARY,BIRNEY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039259,68338
BLACK MOUNTAIN MIDDLE,BLACK MOUNTAIN MIDDLE,POWAY UNIFIED,POWAY UNIFIED,TRUE,6093223,68296
BLESSED SACRAMENT ELEMENTARY,BLESSED SACRAMENT ELEMENTARY,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,,
BLOSSOM VALLEY ELEMENTARY,BLOSSOM VALLEY ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6112148,67991
BOBIER ELEMENTARY,BOBIER ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6040596,68452
BONITA VISTA MIDDLE,BONITA VISTA MIDDLE,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6059745,68411
BONITA VISTA SENIOR HIGH,BONITA VISTA SENIOR HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3730405,68411
BONSALL ELEMENTARY,BONSALL ELEMENTARY,"BONSALL UNIFIED, BONSALL UNION ELEMENTARY",BONSALL UNIFIED,TRUE,6037543,76851
BONSALL HIGH,BONSALL HIGH,BONSALL UNIFIED,BONSALL UNIFIED,TRUE,129320,76851
BONSALL WEST ELEMENTARY,BONSALL WEST ELEMENTARY,"BONSALL UNIFIED, BONSALL UNION ELEMENTARY",BONSALL UNIFIED,TRUE,110122,76851
BOONE ELEMENTARY,BOONE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039267,68338
BORREGO SPRINGS ELEMENTARY,BORREGO SPRINGS ELEMENTARY,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS UNIFIED,TRUE,6037550,67983
BORREGO SPRINGS HIGH,BORREGO SPRINGS HIGH,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS UNIFIED,TRUE,3730447,67983
BORREGO SPRINGS MIDDLE,BORREGO SPRINGS MIDDLE,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS UNIFIED,TRUE,6115315,67983
BOSTONIA LANGUAGE ACADEMY,"BOSTONIA LANGUAGE ACADEMY, BOSTONIA ELEMENTRY",CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037576,67991
BOULDER OAKS ELEMENTARY,BOULDER OAKS ELEMENTARY,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,TRUE,6109086,67967
BREAKING CYCLES,BREAKING CYCLES,SAN MARCOS UNIFIED,,TRUE,,
BREEZE HILL ELEMENTARY,BREEZE HILL ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6110399,68452
BROOKLYN CDC,BROOKLYN CDC,SAN DIEGO UNIFIED,,FALSE,,
BUENA VISTA ELEMENTARY,BUENA VISTA ELEMENTARY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,6037774,73551
BURBANK ELEMENTARY,BURBANK ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039283,68338
CABRILLO ELEMENTARY,CABRILLO ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039291,68338
CADMAN ELEMENTARY,CADMAN ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039309,68338
CAJON PARK ELEMENTARY,CAJON PARK ELEMENTARY,SANTEE,SANTEE,TRUE,6040349,68361
CAJON VALLEY COMMUNITY DAY,CAJON VALLEY COMMUNITY DAY,,CAJON VALLEY UNION,TRUE,6117295,67991
CAJON VALLEY HOME,CAJON VALLEY HOME,,CAJON VALLEY UNION,TRUE,6118319,67991
CAJON VALLEY MIDDLE,CAJON VALLEY MIDDLE,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037584,67991
CALAVERA HILLS ELEMENTARY,CALAVERA HILLS ELEMENTARY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,6120711,73551
CALAVERA HILLS MIDDLE,CALAVERA HILLS MIDDLE,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,107557,73551
CALIFORNIA/SP ED,,VISTA UNIFIED,,TRUE,,
CALIFORNIA ACADEMY OF SPORTS SCIENCE,CALIFORNIA ACADEMY OF SPORTS SCIENCE,,DEHESA ELEMENTARY,TRUE,136747,68049
CALIFORNIA AVENUE ELEMENTARY,CALIFORNIA AVENUE ELEMENTARY,,VISTA UNIFIED,TRUE,6040604,68452
CALIFORNIA PACIFIC CHARTER - SAN DIEGO,CALIFORNIA PACIFIC CHARTER - SAN DIEGO,,WARNER UNIFIED,TRUE,132472,75416
CALIFORNIA PACIFIC CHARTER SCHOOLS - SAN DIEGO,CALIFORNIA PACIFIC CHARTER SCHOOLS - SAN DIEGO,,WARNER UNIFIED,TRUE,132472,75416
CALIFORNIA VIRTUAL ACADEMY @ SAN DIEGO,CALIFORNIA VIRTUAL ACADEMY @ SAN DIEGO,,SPENCER VALLEY ELEMENTARY,TRUE,6120893,68403
CALVIN CHRISTIAN,,CALVIN CHRISTIAN SCHOOL,,TRUE,,
CALVIN CHRISTIAN SCHOOL -ANNEX,,CALVIN CHRISTIAN SCHOOL,,TRUE,,
CAMARENA (ENRIQUE S.) ELEMENTARY,CAMARENA (ENRIQUE S.) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,127431,68023
CAMP CUYAMACA,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,FALSE,,
CAMP LOCKETT MIDDLE,CAMP LOCKETT MIDDLE,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,126995,68213
CAMP MARSTON,,YMCA OF SAN DIEGO COUNTY,,FALSE,,
CAMP SURF,,YMCA OF SAN DIEGO COUNTY,,FALSE,,
CAMPO ELEMENTARY,CAMPO ELEMENTARY,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,6038681,68213
CAMPO HIGH (CONTINUATION),CAMPO HIGH (CONTINUATION),MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,3730934,68213
CANYON CREST ACADEMY,CANYON CREST ACADEMY,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE,106328,68346
CANYON VIEW ELEMENTARY,CANYON VIEW ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6106520,68296
CAPRI ELEMENTARY,CAPRI ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6066989,68080
CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,TRUE,6037766,68007
CARLSBAD HIGH,CARLSBAD HIGH,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,3730694,73551
CARLSBAD SEASIDE ACADEMY,CARLSBAD SEASIDE ACADEMY,,CARLSBAD UNIFIED,TRUE,3731163,73551
CARLSBAD VILLAGE ACADEMY,CARLSBAD VILLAGE ACADEMY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,3730017,73551
CARLTON HILLS ELEMENTARY,CARLTON HILLS ELEMENTARY,SANTEE,SANTEE,TRUE,6040356,68361
CARLTON OAKS ELEMENTARY,CARLTON OAKS ELEMENTARY,SANTEE,SANTEE,TRUE,6068159,68361
CARMEL CREEK ELEMENTARY,CARMEL CREEK ELEMENTARY,SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,TRUE,6112353,68387
CARMEL DEL MAR ELEMENTARY,CARMEL DEL MAR ELEMENTARY,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,TRUE,6110696,68056
CARMEL VALLEY MIDDLE,CARMEL VALLEY MIDDLE,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE,6117352,68346
CARRILLO ELEMENTARY,CARRILLO ELEMENTARY,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,6116206,73791
CARSON ELEMENTARY,CARSON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039341,68338
CARVER ELEMENTARY,CARVER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039358,68338
CASA DE ORO ELEMENTARY,CASA DE ORO ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038434,68197
CASILLAS (JOSEPH) ELEMENTARY,CASILLAS (JOSEPH) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6115646,68023
CASITA CENTER FOR SCIENCE/MATH/TECHNOLOGY,CASITA CENTER FOR SCIENCE/MATH/TECHNOLOGY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6069124,68452
CASTLE PARK ELEMENTARY,CASTLE PARK ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037824,68023
CASTLE PARK MIDDLE,CASTLE PARK MIDDLE,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6059752,68411
CASTLE PARK SENIOR HIGH,CASTLE PARK SENIOR HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3730801,68411
CENTER FOR POSITIVE CHANGES,,CENTER FOR POSITIVE CHANGES INC.,,FALSE,,
CENTER FOR POSITIVE CHANGES 5,,CENTER FOR POSITIVE CHANGES INC.,,FALSE,,
CENTER FOR POSITIVE CHANGES II,,CENTER FOR POSITIVE CHANGES INC.,,FALSE,,
CENTER FOR POSITIVE CHANGES III-ANNEX,,CENTER FOR POSITIVE CHANGES INC.,,FALSE,,
CENTRAL ELEMENTARY,CENTRAL ELEMENTARY,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6040471,68395
CENTRAL ELEMENTARY,CENTRAL ELEMENTARY,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038731,68221
CENTRAL ELEMENTARY,CENTRAL ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039366,68338
CENTRAL ELEMENTARY,CENTRAL ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038178,68098
CENTRAL PRESCHOOL,,ESCONDIDO UNION,,TRUE,,
CESAR CHAVEZ MIDDLE,CESAR CHAVEZ MIDDLE,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,113522,73569
CHALLENGER MIDDLE,CHALLENGER MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6107056,68338
CHAPARRAL ELEMENTARY,CHAPARRAL ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6097216,68296
CHAPARRAL HIGH,CHAPARRAL HIGH,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,TRUE,3732559,68130
CHARTER SCHOOL OF SAN DIEGO,CHARTER SCHOOL OF SAN DIEGO,,SAN DIEGO UNIFIED,TRUE,3730959,68338
CHASE AVENUE ELEMENTARY,CHASE AVENUE ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037592,67991
CHAVEZ ELEMENTARY,CHAVEZ ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6114300,68338
CHEROKEE POINT ELEMENTARY,CHEROKEE POINT ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,108282,68338
CHESTERTON ELEMENTARY,CHESTERTON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039374,68338
CHET F. HARRITT ELEMENTARY,CHET F. HARRITT ELEMENTARY,SANTEE,SANTEE,TRUE,6040364,68361
CHILDREN'S WORKSHOP,,SAN DIEGO UNIFIED,,FALSE,,
CHOICE COMMUNITY SCHOOL,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
CHOLLAS/MEAD ELEMENTARY,CHOLLAS/MEAD ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039382,68338
CHRISTA MCAULIFFE ELEMENTARY,CHRISTA MCAULIFFE ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6108211,73569
CHULA VISTA COMMUNITY,,SWEETWATER UNION HIGH,,TRUE,,
CHULA VISTA HILLS ELEMENTARY,CHULA VISTA HILLS ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6107775,68023
CHULA VISTA LEARNING COMMUNITY CHARTER,CHULA VISTA LEARNING COMMUNITY CHARTER,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6115778,68023
CHULA VISTA MIDDLE,CHULA VISTA MIDDLE,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6059760,68411
CHULA VISTA SENIOR HIGH,CHULA VISTA SENIOR HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3731064,68411
CIRCLE OF FRIENDS,,CIRCLE OF FRIENDS,,,,
CIRCLE OF FRIENDS II,,CIRCLE OF FRIENDS,,,,
CITY HEIGHTS PREPARATORY CHARTER,CITY HEIGHTS PREPARATORY CHARTER,CITY HEIGHTS PREPARATORY CHARTER SCHOOL,SAN DIEGO UNIFIED,TRUE,124347,68338
CLAIR W. BURGENER ACADEMY,,OCEANSIDE UNIFIED,,TRUE,,
CLAIREMONT HIGH,CLAIREMONT HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3731213,68338
CLARK MIDDLE,CLARK MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6114060,68338
CLASSICAL ACADEMY,CLASSICAL ACADEMY,,ESCONDIDO UNION,TRUE,6116776,68098
CLASSICAL ACADEMY HIGH,CLASSICAL ACADEMY HIGH,,ESCONDIDO UNION HIGH,TRUE,111195,68106
CLASSICAL ACADEMY VISTA,CLASSICAL ACADEMY VISTA,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,138404,10371
CLAY ELEMENTARY,CLAY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039390,68338
CLEAR VIEW,CLEAR VIEW,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6109771,68023
CLOVER FLAT ELEMENTARY,CLOVER FLAT ELEMENTARY,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,6085054,68213
COASTAL ACADEMY,COASTAL ACADEMY,,OCEANSIDE UNIFIED,TRUE,101071,73569
COASTAL ACADEMY CHARTER,COASTAL ACADEMY CHARTER,,OCEANSIDE UNIFIED,TRUE,136267,73569
COL. SALOMON CDC,,SAN DIEGO UNIFIED,,FALSE,,
COLEMAN TECH CHARTER HIGH,COLEMAN TECH CHARTER HIGH,,SAN DIEGO UNIFIED,TRUE,122788,68338
COLLEGE PREPARATORY MIDDLE,COLLEGE PREPARATORY MIDDLE,GROSSMONT UNION HIGH,MOUNTAIN EMPIRE UNIFIED,TRUE,121582,68213
COLLEGE PREPARATORY MIDDLE - EAST COUNTY,COLLEGE PREPARATORY MIDDLE - EAST COUNTY,GROSSMONT UNION HIGH,MOUNTAIN EMPIRE UNIFIED,TRUE,121582,68213
COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY,COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY,LA MESA-SPRING VALLEY,SBE - COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY,TRUE,137356,77164
COMMUNITY DAY SCHOOL,,SWEETWATER UNION HIGH,,TRUE,,
COMMUNITY MONTESSORI,COMMUNITY MONTESSORI,,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,137695,10371
COMMUNITY MONTESSORI CHARTER,COMMUNITY MONTESSORI CHARTER,,DEHESA ELEMENTARY,TRUE,127167,68049
COMMUNITY YOUTH ATHLETICS CENTER,,SWEETWATER UNION HIGH,,FALSE,,
COMPASS CHARTER SCHOOLS OF SAN DIEGO,COMPASS CHARTER SCHOOLS OF SAN DIEGO,,MOUNTAIN EMPIRE UNIFIED,TRUE,127084,68213
CONWAY ELEMENTARY,CONWAY ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038186,68098
CONWAY PRESCHOOL,,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,,
COOK (HAZEL GOES) ELEMENTARY,COOK (HAZEL GOES) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037881,68023
CORONADO HIGH,CORONADO HIGH,CORONADO UNIFIED,CORONADO UNIFIED,TRUE,3731478,68031
