County,Claim Month_Yr,ProgramCode,Year,Sponsor Name,Meals Type,SiteQty,DaysServedQty,Meals Served,Avg Daily Meals
SAN DIEGO,Aug 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,CHILD_SNACK_PM,7,23,9577,416.3913
SAN DIEGO,Aug 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,OSCH_CHILD_BREAKFAST,7,23,1420,61.7391
SAN DIEGO,Aug 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,OSCH_CHILD_LUNCH,7,23,1961,85.2609
SAN DIEGO,Aug 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,OSCH_CHILD_SNACK_PM,7,23,3655,158.913
SAN DIEGO,Sep 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,CHILD_BREAKFAST,7,21,7701,366.7143
SAN DIEGO,Sep 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,CHILD_LUNCH,7,21,10558,502.7619
SAN DIEGO,Sep 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,CHILD_SNACK_PM,7,21,9241,440.0476
SAN DIEGO,Sep 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,OSCH_CHILD_BREAKFAST,7,21,525,25
SAN DIEGO,Sep 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,OSCH_CHILD_LUNCH,7,21,891,42.4286
SAN DIEGO,Sep 2016,CACF,2016,TUTOR TIME LEARNING CENTERS LLC,OSCH_CHILD_SNACK_PM,7,21,3663,174.4286
SAN DIEGO,Aug 2016,CACF,2016,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_BREAKFAST,1,23,1024,44.5217
SAN DIEGO,Aug 2016,CACF,2016,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_LUNCH,1,23,1264,54.9565
SAN DIEGO,Aug 2016,CACF,2016,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_SNACK_PM,1,23,1088,47.3043
SAN DIEGO,Sep 2016,CACF,2016,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_BREAKFAST,1,21,989,47.0952
SAN DIEGO,Sep 2016,CACF,2016,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_LUNCH,1,21,1177,56.0476
SAN DIEGO,Sep 2016,CACF,2016,UNITED CHURCH/CHRIST LA MESA CHARLEY BROWNS CHILDREN CENTER,CHILD_SNACK_PM,1,21,988,47.0476
SAN DIEGO,Aug 2016,CACF,2016,"University of California, San Diego",CHILD_BREAKFAST,1,23,1793,77.9565
SAN DIEGO,Aug 2016,CACF,2016,"University of California, San Diego",CHILD_LUNCH,1,23,3324,144.5217
SAN DIEGO,Aug 2016,CACF,2016,"University of California, San Diego",CHILD_SNACK_PM,1,23,3163,137.5217
SAN DIEGO,Sep 2016,CACF,2016,"University of California, San Diego",CHILD_BREAKFAST,1,20,1707,85.35
SAN DIEGO,Sep 2016,CACF,2016,"University of California, San Diego",CHILD_LUNCH,1,20,2868,143.4
SAN DIEGO,Sep 2016,CACF,2016,"University of California, San Diego",CHILD_SNACK_PM,1,20,2726,136.3
SAN DIEGO,Aug 2016,CACF,2016,VISIONS OF GOD CHRISTIAN FELLOWSHIP,CHILD_BREAKFAST,1,23,555,24.1304
SAN DIEGO,Aug 2016,CACF,2016,VISIONS OF GOD CHRISTIAN FELLOWSHIP,CHILD_LUNCH,1,23,743,32.3043
SAN DIEGO,Aug 2016,CACF,2016,VISIONS OF GOD CHRISTIAN FELLOWSHIP,CHILD_SNACK_PM,1,23,489,21.2609
SAN DIEGO,Sep 2016,CACF,2016,VISIONS OF GOD CHRISTIAN FELLOWSHIP,CHILD_BREAKFAST,1,20,424,21.2
SAN DIEGO,Sep 2016,CACF,2016,VISIONS OF GOD CHRISTIAN FELLOWSHIP,CHILD_LUNCH,1,20,550,27.5
SAN DIEGO,Sep 2016,CACF,2016,VISIONS OF GOD CHRISTIAN FELLOWSHIP,CHILD_SNACK_PM,1,20,502,25.1
SAN DIEGO,Aug 2016,CACF,2016,VISTA UNIFIED SCHOOL DISTRICT,ATRISK_CHILD_SUPPER,19,11,19644,1785.8182
SAN DIEGO,Sep 2016,CACF,2016,VISTA UNIFIED SCHOOL DISTRICT,ATRISK_CHILD_SUPPER,19,21,39483,1880.1429
SAN DIEGO,Aug 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_BREAKFAST,1,23,2787,121.1739
SAN DIEGO,Aug 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_LUNCH,1,23,2450,106.5217
SAN DIEGO,Aug 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,CHILD_SNACK_PM,1,23,1308,56.8696
SAN DIEGO,Aug 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_BREAKFAST,1,23,966,42
SAN DIEGO,Aug 2016,CACF,2016,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,HS_CHILD_LUNCH,1,23,1080,46.9565
