County,Claim Month/ Year,ProgramCode,Year,Name,Meal Group,Days Served,Free Eligible,Reduced Eligible,Paid Eligible,Enroll,Free Meals,Reduced Meals,Paid Meals,Total Meals,Average Daily Meals
SAN DIEGO,Mar 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,23,145,0,26,171,282,0,51,333,14.4783
SAN DIEGO,Apr 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,21,145,0,26,171,1043,0,187,1230,58.5714
SAN DIEGO,Apr 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,21,145,0,26,171,1241,0,223,1464,69.7143
SAN DIEGO,Apr 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,21,145,0,26,171,150,0,27,177,8.4286
SAN DIEGO,May 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,21,145,0,26,171,1057,0,190,1247,59.381
SAN DIEGO,May 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,21,145,0,26,171,1248,0,224,1472,70.0952
SAN DIEGO,May 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,21,145,0,26,171,159,0,29,188,8.9524
SAN DIEGO,Jun 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,22,145,0,26,171,1101,0,197,1298,59
SAN DIEGO,Jun 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,22,145,0,26,171,1289,0,231,1520,69.0909
SAN DIEGO,Jun 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,22,145,0,26,171,196,0,35,231,10.5
SAN DIEGO,Jul 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_BREAKFAST,20,145,0,26,171,953,0,171,1124,56.2
SAN DIEGO,Jul 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_LUNCH,20,145,0,26,171,1120,0,201,1321,66.05
SAN DIEGO,Jul 2016,CACF,2016,POWAY ADHC CENTER ,ADULT_SNACK_PM,20,145,0,26,171,153,0,28,181,9.05
SAN DIEGO,Oct 2015,CACF,2016,QUALITY CHILDREN'S SERVICES ,CHILD_BREAKFAST,22,962,246,71,1279,10956,2801,808,14565,662.0455
SAN DIEGO,Oct 2015,CACF,2016,QUALITY CHILDREN'S SERVICES ,CHILD_LUNCH,22,962,246,71,1279,10934,2795,807,14536,660.7273
SAN DIEGO,Oct 2015,CACF,2016,QUALITY CHILDREN'S SERVICES ,CHILD_SNACK_AM,22,962,246,71,1279,11774,3010,869,15653,711.5
SAN DIEGO,Oct 2015,CACF,2016,QUALITY CHILDREN'S SERVICES ,CHILD_SNACK_PM,22,962,246,71,1279,5978,1528,441,7947,361.2273
SAN DIEGO,Nov 2015,CACF,2016,QUALITY CHILDREN'S SERVICES ,CHILD_BREAKFAST,19,962,246,71,1279,8811,2252,650,11713,616.4737
SAN DIEGO,Nov 2015,CACF,2016,QUALITY CHILDREN'S SERVICES ,CHILD_LUNCH,19,962,246,71,1279,8997,2300,664,11961,629.5263
SAN DIEGO,Nov 2015,CACF,2016,QUALITY CHILDREN'S SERVICES ,CHILD_SNACK_AM,19,962,246,71,1279,9567,2446,706,12719,669.4211
