site_id,new_id,sitename,district
3633,1132,SILVER GATE ELEMENTARY,SAN DIEGO UNIFIED
3637,1133,SILVER STRAND ELEMENTARY,CORONADO UNIFIED
3641,1134,SILVER WING ELEMENTARY,CHULA VISTA ELEMENTARY
5093,1135,SILVER WING RECREATION CENTER,
3645,1136,SKYLINE ELEMENTARY,SOLANA BEACH ELEMENTARY
5025,1137,SKYLINE HILLS REC CENTER,
3649,1138,SMYTHE ELEMENTARY,SAN YSIDRO ELEMENTARY
3653,1139,SOLANA HIGHLANDS ELEMENTARY,SOLANA BEACH ELEMENTARY
3657,1140,SOLANA PACIFIC ELEMENTARY,SOLANA BEACH ELEMENTARY
3661,1141,SOLANA RANCH ELEMENTARY,SOLANA BEACH ELEMENTARY
3665,1142,SOLANA SANTA FE ELEMENTARY,SOLANA BEACH ELEMENTARY
3669,1143,SOLANA VISTA ELEMENTARY,SOLANA BEACH ELEMENTARY
3673,1144,SORRENTO MESA LC - AUDEO CHARTER -ANNEX,
3677,1145,SOUTH BAY COMMUNITY SCHOOL,
3681,1146,SOUTH BAY COUNTY BLENDED COMM SCHOOL,
5029,1147,SOUTH CLAIREMONT PARK & REC,
5033,1148,SOUTH CREST REC CENTER,
3685,1149,SOUTH OCEANSIDE ELEMENTARY,OCEANSIDE UNIFIED
3689,1150,SOUTH REGION COMMUNITY DAY SCHOOLS,
3693,1151,SOUTHLAND BLENDED COMM SCHOOL,
3697,1152,SOUTHWEST MIDDLE,SWEETWATER UNION HIGH
3701,1153,SOUTHWEST SENIOR HIGH,SWEETWATER UNION HIGH
5357,1154,SPECIAL EDUCATION PRESCHOOL,CHULA VISTA ELEMENTARY
4361,1155,SPECIAL EDUCATION TRANSITION CLASS,
3709,1156,SPENCER VALLEY ELEMENTARY,SPENCER VALLEY ELEMENTARY
5097,1157,SPORTS PARK OF IMPERIAL BEACH,
28,1158,SPORTS PARK RECREATION CENTER,
3705,1159,SPORTS SCIENCE ACADEMY,
3713,1160,SPRECKELS ELEMENTARY,SAN DIEGO UNIFIED
3717,1161,SPRING VALLEY ACADEMY,LA MESA-SPRING VALLEY
4741,1162,SPRING VALLEY COMMUNITY CENTER,
4745,1163,SPRING VALLEY LIBRARY,
3721,1164,SPRING VALLEY MIDDLE,LA MESA-SPRING VALLEY
4689,1165,SPRING VALLEY REC CLUB,
3725,1166,SPRINGALL ACADEMY,
3729,1167,ST. DIDACUS  SCHOOL,
3733,1168,ST. DIDACUS PARISH SCHOOL,
3737,1169,ST. JOHN OF THE CROSS,
3741,1170,ST. MARTIN OF TOURS ACADEMY,
3745,1171,ST. MICHAEL'S SCHOOL,
3749,1172,ST. PATRICK CATHOLIC SCHOOL,
3753,1173,ST. PATRICK'S ELEMENTARY,
3757,1174,ST. RITA'S SCHOOL,
3761,1175,STANDLEY MIDDLE,SAN DIEGO UNIFIED
5361,1176,STEELE CANYON ADULT CENTER,GROSSMONT UNION HIGH
3765,1177,STEELE CANYON HIGH,GROSSMONT UNION HIGH
19,1178,STEP PROGRAM,
3769,1179,STEPHEN W. HAWKING CHARTER,SWEETWATER UNION HIGH
3773,1180,"STEPHEN W. HAWKING II SCIENCE, TECHNOLOGY, ENGINEERING, ART AND MATH CHARTER",SWEETWATER UNION HIGH
3777,1181,STEPS,
5037,1182,STOCKTON REC CENTER,
3781,1183,STONE RANCH ELEMENTARY,POWAY UNIFIED
3785,1184,STUART MESA ELEMENTARY,OCEANSIDE UNIFIED
4309,1185,SULPIZIO FAMILY BRANCH,
3789,1186,SUMMIT NORTH,
3793,1187,SUNDANCE ELEMENTARY,POWAY UNIFIED
3797,1188,SUNNYSIDE ELEMENTARY,CHULA VISTA ELEMENTARY
3801,1189,SUNNYSLOPE ELEMENTARY,SOUTH BAY UNION
3805,1190,SUNSET ELEMENTARY,SAN YSIDRO ELEMENTARY
3809,1191,SUNSET HIGH (CONTINUATION),SAN DIEGUITO UNION HIGH
3813,1192,SUNSET HILLS ELEMENTARY,POWAY UNIFIED
3817,1193,SUNSET VIEW ELEMENTARY,SAN DIEGO UNIFIED
3821,1194,SWEETWATER COMMUNITY DAY,SWEETWATER UNION HIGH
3825,1195,SWEETWATER HIGH,SWEETWATER UNION HIGH
3829,1196,SWEETWATER SECONDARY,SBE - SWEETWATER SECONDARY
3833,1197,SWEETWATER SPRINGS ELEMENTARY,LA MESA-SPRING VALLEY
3837,1198,SYCAMORE CANYON ELEMENTARY,SANTEE
3841,1199,SYCAMORE RIDGE,DEL MAR UNION ELEMENTARY
4693,1200,SYHC-WIC CHULA VISTA,
3845,1201,T.H.E LEADERSHIP ACADEMY,VISTA UNIFIED
3849,1202,TAFT MIDDLE,SAN DIEGO UNIFIED
3861,1203,TAYLION SAN DIEGO ACADEMY,VALLECITOS ELEMENTARY
3853,1204,TEEN OPTIONS INDEPENDENT STUDY,
3857,1205,TEEN OUTREACH NORTH,
3865,1206,TEMPLE HEIGHTS ELEMENTARY,VISTA UNIFIED
3869,1207,TEOFILO MENDOZA,SOUTH BAY UNION
4529,1208,THE CLUB - LA MESA TEEN CENTER,
3885,1209,THE HEIGHTS CHARTER,DEHESA ELEMENTARY
3873,1210,THE INSTITUTE FOR EFFECTIVE EDUCATION (TIEE SITE 1) - CHILDREN'S,
