siteid,academicyear,schoolname,districtname,schooltype,nslpstatus,ischarterschool,charterschoolnumber,charterfundingtype,isirc,lowgrade,highgrade,enrollment_k-12,freemealcount_k-12,frpmcount_k-12,enrollment_5-17,freemealcount_5-17,frpmcount_5-17,iscalpadscertified,schooltypegroup,districttype,educationaloptiontype,districtcode,schoolcode
2457,2015-2016,MONTECITO HIGH (CONTINUATION),RAMONA CITY UNIFIED,Continuation High Schools,None,FALSE,,,FALSE,9,12,129,62,78,104,47,58,TRUE,Other,Unified School District,CONTINUATION SCHOOL,68304,3735958
1453,2015-2016,HEALTH SCIENCES MIDDLE,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),None,TRUE,1517,DIRECTLY FUNDED,TRUE,6,9,164,102,113,164,102,113,TRUE,Middle School,Unified School District,TRADITIONAL,68338,128066
1261,2015-2016,FOSTER ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,380,187,225,365,178,214,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039598
2477,2015-2016,MONTGOMERY MIDDLE,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),Provision 2,FALSE,,,FALSE,6,8,442,349,401,442,349,401,TRUE,Middle School,Unified School District,TRADITIONAL,68338,6059679
3837,2015-2016,SYCAMORE CANYON ELEMENTARY,SANTEE,Elementary Schools (Public),None,FALSE,,,FALSE,K,6,336,60,83,334,60,83,TRUE,Elementary School,Elementary School District,TRADITIONAL,68361,6040406
3697,2015-2016,SOUTHWEST MIDDLE,SWEETWATER UNION HIGH,Intermediate/Middle Schools (Public),None,FALSE,,,FALSE,7,8,691,483,580,691,483,580,TRUE,Middle School,High School District,TRADITIONAL,68411,6062012
3077,2016-2017,PARK VILLAGE ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,629,24,31,618,23,30,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6111314
673,2016-2017,CITY HEIGHTS PREPARATORY CHARTER,SAN DIEGO UNIFIED,K-12 Schools (Public),Provision 2,,1312,DIRECTLY FUNDED,TRUE,6,12,178,177,177,177,176,176,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,124347
1089,2016-2017,EMERSON/BANDINI ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,K,6,568,515,555,561,508,548,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039507
265,2016-2017,BELL MIDDLE,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),Provision 2,,,,FALSE,6,8,767,503,632,767,503,632,TRUE,Middle School,Unified School District,TRADITIONAL,68338,6059588
2781,2016-2017,"NONPUBLIC, NONSECTARIAN SCHOOLS",SANTEE,,,,,,,,,3,1,1,3,1,1,TRUE,,Elementary School District,,68361,1
