siteid,academicyear,schoolname,districtname,schooltype,nslpstatus,ischarterschool,charterschoolnumber,charterfundingtype,isirc,lowgrade,highgrade,enrollment_k-12,freemealcount_k-12,frpmcount_k-12,enrollment_5-17,freemealcount_5-17,frpmcount_5-17,iscalpadscertified,schooltypegroup,districttype,educationaloptiontype,districtcode,schoolcode
2773,2015-2016,"NONPUBLIC, NONSECTARIAN SCHOOLS",SAN DIEGO UNIFIED,,None,,,,,,,346,130,147,275,102,116,TRUE,,Unified School District,,68338,1
3969,2015-2016,TWAIN HIGH,SAN DIEGO UNIFIED,Continuation High Schools,None,FALSE,,,FALSE,7,12,186,142,160,161,122,137,TRUE,Other,Unified School District,CONTINUATION SCHOOL,68338,3730231
1445,2015-2016,HAWTHORNE ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,240,140,189,235,138,186,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039721
3101,2015-2016,PENN ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,367,226,288,357,219,281,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6077317
1997,2015-2016,LA MIRADA ELEMENTARY,SAN YSIDRO ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,4,6,467,467,467,467,467,467,TRUE,Elementary School,Elementary School District,TRADITIONAL,68379,6089007
1253,2015-2016,FOOTHILL OAK ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,706,604,657,692,592,645,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,105882
321,2014-2015,BONSALL ELEMENTARY,BONSALL UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,985,279,342,974,273,336,TRUE,Elementary School,Unified School District,TRADITIONAL,76851,6037543
89,2015-2016,ALLEN (ELLA B.) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),None,FALSE,,,FALSE,K,6,401,101,156,401,101,156,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6037832
477,2015-2016,CAPRI ELEMENTARY,ENCINITAS UNION ELEMENTARY,Elementary Schools (Public),None,FALSE,,,FALSE,K,6,702,127,160,701,127,160,TRUE,Elementary School,Elementary School District,TRADITIONAL,68080,6066989
1377,2015-2016,GROSSMONT MIDDLE COLLEGE HIGH,GROSSMONT UNION HIGH,Alternative Schools of Choice,None,FALSE,,,FALSE,11,12,70,11,35,70,11,35,TRUE,Other,High School District,ALTERNATIVE SCHOOL OF CHOICE,68130,3731536
3389,2015-2016,SAN ALTOS ELEMENTARY,LEMON GROVE,Elementary Schools (Public),Breakfast Provision 2,FALSE,,,FALSE,P,6,414,239,289,406,236,285,TRUE,Elementary School,Elementary School District,TRADITIONAL,68205,6038657
3717,2017-2018,SPRING VALLEY ACADEMY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,,,,FALSE,4,8,828,527,634,828,527,634,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,134155
905,2017-2018,DESIGN 39 CAMPUS,POWAY UNIFIED,Elementary Schools (Public),,,,,FALSE,K,8,1159,117,134,1141,117,134,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,129056
1617,2017-2018,IBARRA ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,K,5,475,420,448,465,410,438,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,108290
1301,2017-2018,GARFIELD HIGH,SAN DIEGO UNIFIED,Continuation High Schools,CEP,,,,FALSE,9,12,246,213,233,182,159,173,TRUE,Other,Unified School District,CONTINUATION SCHOOL,68338,3737962
2333,2017-2018,MCKINLEY ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,572,161,197,558,159,194,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039978
2857,2017-2018,NYE ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,,,,FALSE,K,5,421,216,295,411,214,292,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6112478
2249,2017-2018,MAGNOLIA SCIENCE ACADEMY SAN DIEGO,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),,,698,DIRECTLY FUNDED,TRUE,6,8,404,92,107,404,92,107,TRUE,Middle School,Unified School District,TRADITIONAL,68338,109157
745,2018-2019,COMMUNITY MONTESSORI,SAN DIEGO COUNTY OFFICE OF EDUCATION,Elementary Schools (Public),,,1947,DIRECTLY FUNDED,TRUE,K,8,705,92,110,684,86,102,TRUE,Elementary School,County Office of Education (COE),TRADITIONAL,10371,137695
337,2018-2019,BORREGO SPRINGS ELEMENTARY,BORREGO SPRINGS UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,P,5,180,137,158,177,136,156,TRUE,Elementary School,Unified School District,TRADITIONAL,67983,6037550
1761,2018-2019,JOHNSON ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),CEP,,,,FALSE,K,5,690,606,656,667,589,636,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037675
33,2018-2019,ADA W. HARRIS ELEMENTARY,CARDIFF ELEMENTARY,Elementary Schools (Public),,,,,FALSE,3,6,356,62,67,356,62,67,TRUE,Elementary School,Elementary School District,TRADITIONAL,68007,6037758
3313,2018-2019,ROGERS (GREG) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,,,,FALSE,K,6,406,187,243,404,186,242,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6037857
321,2017-2018,BONSALL ELEMENTARY,BONSALL UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,971,333,362,954,328,357,TRUE,Elementary School,Unified School District,TRADITIONAL,76851,6037543
1953,2015-2016,LA COSTA MEADOWS ELEMENTARY,SAN MARCOS UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,943,77,99,924,76,97,TRUE,Elementary School,Unified School District,TRADITIONAL,73791,6105993
817,2016-2017,CREST ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),,,,,FALSE,K,5,137,49,63,135,48,62,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6037600
949,2016-2017,DISCOVERY CHARTER,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,,54,DIRECTLY FUNDED,FALSE,K,8,911,164,248,911,164,248,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6111322
3129,2016-2017,PIONEER ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),,,,,FALSE,K,5,739,632,686,722,620,670,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,6110381
3925,2016-2017,TIERRA DEL SOL MIDDLE,LAKESIDE UNION ELEMENTARY,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,703,265,332,703,265,332,TRUE,Middle School,Elementary School District,TRADITIONAL,68189,6085047
3509,2017-2018,SAN MIGUEL ELEMENTARY,LEMON GROVE,Elementary Schools (Public),Breakfast Provision 2,,,,FALSE,P,6,554,387,446,554,387,446,TRUE,Elementary School,Elementary School District,TRADITIONAL,68205,6038665
3965,2017-2018,TURTLEBACK ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,609,77,96,589,74,93,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6109326
673,2017-2018,CITY HEIGHTS PREPARATORY CHARTER,SAN DIEGO UNIFIED,K-12 Schools (Public),,,1312,DIRECTLY FUNDED,TRUE,6,12,150,149,149,149,148,148,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,124347
913,2017-2018,DEWEY ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,,,FALSE,K,4,386,114,238,373,110,228,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039481
273,2017-2018,BENCHLEY/WEINBERGER ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,559,98,117,551,98,117,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6040299
513,2017-2018,CARMEL VALLEY MIDDLE,SAN DIEGUITO UNION HIGH,Intermediate/Middle Schools (Public),,,,,FALSE,7,8,1158,67,70,1158,67,70,TRUE,Middle School,High School District,TRADITIONAL,68346,6117352
173,2017-2018,BAKER ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,K,5,422,362,391,412,355,383,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039150
2985,2017-2018,PACIFIC BEACH ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,378,106,119,371,105,118,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6040042
613,2017-2018,CHAVEZ ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,K,5,481,402,458,467,390,444,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6114300
361,2016-2017,BREEZE HILL ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,827,376,474,774,361,452,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,6110399
953,2016-2017,DISCOVERY ELEMENTARY,SAN MARCOS UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,725,142,189,709,140,187,TRUE,Elementary School,Unified School District,TRADITIONAL,73791,6114169
1389,2018-2019,GUAJOME PARK ACADEMY CHARTER,VISTA UNIFIED,K-12 Schools (Public),,,50,DIRECTLY FUNDED,TRUE,K,12,1416,683,817,1407,677,811,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,3730942
361,2018-2019,BREEZE HILL ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,811,405,470,793,399,463,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,6110399
157,2018-2019,AVIARA OAKS ELEMENTARY,CARLSBAD UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,675,112,124,664,110,122,TRUE,Elementary School,Unified School District,TRADITIONAL,73551,6109201
2413,2018-2019,MISSION ELEMENTARY,OCEANSIDE UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,K,5,510,442,477,503,436,470,TRUE,Elementary School,Unified School District,TRADITIONAL,73569,6038871
1621,2018-2019,IDEA CENTER,GROSSMONT UNION HIGH,Alternative Schools of Choice,,,,,FALSE,9,12,177,65,122,169,64,119,TRUE,Other,High School District,ALTERNATIVE SCHOOL OF CHOICE,68130,132548
2869,2018-2019,OAK GROVE MIDDLE,JAMUL-DULZURA UNION ELEMENTARY,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,217,99,120,217,99,120,TRUE,Middle School,Elementary School District,TRADITIONAL,68155,6097182
2021,2018-2019,LAKESIDE FARMS ELEMENTARY,LAKESIDE UNION ELEMENTARY,Elementary Schools (Public),,,,,FALSE,K,5,655,207,294,655,207,294,TRUE,Elementary School,Elementary School District,TRADITIONAL,68189,6038343
169,2018-2019,AVONDALE ELEMENTARY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,,,,FALSE,K,6,440,300,355,425,294,346,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,6038400
2185,2018-2019,LOMA ELEMENTARY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,,,,FALSE,K,6,324,213,248,324,213,248,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,6098446
797,2018-2019,COUNTY COLLABORATIVE CHARTER,MOUNTAIN EMPIRE UNIFIED,K-12 Schools (Public),,,1628,DIRECTLY FUNDED,TRUE,K,12,75,38,41,46,24,26,TRUE,Elementary School,Unified School District,TRADITIONAL,68213,129668
757,2017-2018,COMPASS CHARTER SCHOOLS OF SAN DIEGO,MOUNTAIN EMPIRE UNIFIED,K-12 Schools (Public),,,1454,DIRECTLY FUNDED,TRUE,K,12,396,147,166,373,141,160,TRUE,Elementary School,Unified School District,TRADITIONAL,68213,127084
2517,2017-2018,MOUNTAIN VALLEY ACADEMY,RAMONA CITY UNIFIED,Alternative Schools of Choice,,,,,FALSE,K,12,246,44,46,245,44,46,TRUE,Other,Unified School District,ALTERNATIVE SCHOOL OF CHOICE,68304,131250
1073,2017-2018,ELEVATE ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,1633,DIRECTLY FUNDED,TRUE,K,5,309,55,111,309,55,111,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,129395
1265,2017-2018,FRANKLIN ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,K,5,343,211,266,334,206,261,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039606
2545,2017-2018,MUIRLANDS MIDDLE,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,1001,187,210,1001,187,210,TRUE,Middle School,Unified School District,TRADITIONAL,68338,6059687
4225,2016-2017,WILLOW GROVE ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,756,55,76,742,55,75,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,116764
3157,2016-2017,PORTER ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,,,,FALSE,K,6,984,857,925,968,842,909,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,108274
2233,2016-2017,MADISON HIGH,SAN DIEGO UNIFIED,High Schools (Public),,,,,FALSE,9,12,1086,567,726,1049,550,706,TRUE,High School,Unified School District,TRADITIONAL,68338,3733698
2201,2016-2017,LONGFELLOW K-8,SAN DIEGO UNIFIED,Elementary Schools (Public),,,,,FALSE,K,8,802,242,331,791,240,329,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039911
4257,2016-2017,ZAMORANO ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,1205,704,825,1178,691,809,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6106199
2945,2016-2017,ONEONTA ELEMENTARY,SOUTH BAY UNION,Elementary Schools (Public),Provision 2,,,,FALSE,K,6,533,265,278,519,256,269,TRUE,Elementary School,Elementary School District,TRADITIONAL,68395,6040521
3785,2018-2019,STUART MESA ELEMENTARY,OCEANSIDE UNIFIED,Elementary Schools (Public),,,,,FALSE,K,8,628,158,289,612,156,286,TRUE,Elementary School,Unified School District,TRADITIONAL,73569,6115299
4241,2018-2019,WOODLAND PARK MIDDLE,SAN MARCOS UNIFIED,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,1381,498,613,1381,498,613,TRUE,Middle School,Unified School District,TRADITIONAL,73791,6095061
1365,2017-2018,GREENFIELD MIDDLE,CAJON VALLEY UNION,Intermediate/Middle Schools (Public),CEP,,,,FALSE,6,8,805,585,652,805,585,652,TRUE,Middle School,Elementary School District,TRADITIONAL,67991,6037659
2961,2018-2019,OTAY ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,,,,FALSE,K,6,576,416,500,576,416,500,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6095038
777,2018-2019,CORONADO MIDDLE,CORONADO UNIFIED,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,729,55,76,729,55,76,TRUE,Middle School,Unified School District,TRADITIONAL,68031,6059570
885,2018-2019,DEL MAR HILLS ELEMENTARY,DEL MAR UNION ELEMENTARY,Elementary Schools (Public),,,,,FALSE,K,6,280,37,40,280,37,40,TRUE,Elementary School,Elementary School District,TRADITIONAL,68056,6088983
257,2018-2019,BEAR VALLEY MIDDLE,ESCONDIDO UNION,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,1031,556,654,1031,556,654,TRUE,Middle School,Elementary School District,TRADITIONAL,68098,102590
2953,2018-2019,ORANGE GLEN ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),Provision 2,,,,FALSE,K,5,622,433,519,613,428,512,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,6038947
1145,2018-2019,ESCONDIDO HIGH,ESCONDIDO UNION HIGH,High Schools (Public),,,,,FALSE,9,12,2244,1357,1592,2131,1297,1517,TRUE,High School,High School District,TRADITIONAL,68106,3732062
3865,2017-2018,TEMPLE HEIGHTS ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,678,345,440,662,335,427,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,100925
2849,2017-2018,NORTH TERRACE ELEMENTARY,OCEANSIDE UNIFIED,Elementary Schools (Public),,,,,FALSE,K,8,832,156,374,832,156,374,TRUE,Elementary School,Unified School District,TRADITIONAL,73569,6038889
3829,2017-2018,SWEETWATER SECONDARY,SBE - SWEETWATER SECONDARY,High Schools In 1 School Dist. (Public),,,1903,DIRECTLY FUNDED,FALSE,7,12,228,159,184,197,134,157,TRUE,Other,State Board of Education,TRADITIONAL,77107,136473
1409,2017-2018,HANNALEI ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,614,459,516,597,445,501,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,100933
3041,2017-2018,PALMQUIST ELEMENTARY,OCEANSIDE UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,628,258,312,607,253,306,TRUE,Elementary School,Unified School District,TRADITIONAL,73569,6038897
461,2016-2017,CAMPO ELEMENTARY,MOUNTAIN EMPIRE UNIFIED,Elementary Schools (Public),,,,,FALSE,P,8,438,251,299,424,243,288,TRUE,Elementary School,Unified School District,TRADITIONAL,68213,6038681
1701,2016-2017,JAMES DUKES ELEMENTARY,RAMONA CITY UNIFIED,Elementary Schools (Public),,,,,FALSE,K,6,540,86,101,535,86,100,TRUE,Elementary School,Unified School District,TRADITIONAL,68304,6105555
1641,2016-2017,INGENUITY CHARTER,SAN DIEGO UNIFIED,K-12 Schools (Public),,,1719,DIRECTLY FUNDED,TRUE,6,12,111,74,93,93,63,80,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,131979
1297,2016-2017,GARFIELD ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),CEP,,,,FALSE,K,5,311,220,272,307,217,268,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039655
3889,2016-2017,THE O'FARRELL CHARTER,SAN DIEGO UNIFIED,K-12 Schools (Public),CEP,,48,DIRECTLY FUNDED,TRUE,K,12,1689,932,1199,1676,927,1192,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6061964
3561,2016-2017,SANTEE SUCCESS PROGRAM,SANTEE,District Community Day Schools,,,,,FALSE,K,8,4,2,3,4,2,3,TRUE,Other,Elementary School District,COMMUNITY DAY SCHOOL,68361,6120190
3797,2017-2018,SUNNYSIDE ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,,,,FALSE,K,6,456,123,160,443,121,158,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6038012
873,2017-2018,DEL DIOS ACADEMY OF ARTS AND SCIENCES,ESCONDIDO UNION,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,816,632,719,816,632,719,TRUE,Middle School,Elementary School District,TRADITIONAL,68098,6038194
1417,2017-2018,HARBOR SPRINGS CHARTER,JULIAN UNION ELEMENTARY,K-12 Schools (Public),,,1589,DIRECTLY FUNDED,TRUE,K,12,768,295,403,756,291,398,TRUE,Elementary School,Elementary School District,TRADITIONAL,68163,128421
2513,2017-2018,MOUNTAIN EMPIRE HIGH,MOUNTAIN EMPIRE UNIFIED,High Schools (Public),,,,,FALSE,9,12,389,228,261,379,221,254,TRUE,High School,Unified School District,TRADITIONAL,68213,3734878
3213,2017-2018,RAMONA ELEMENTARY,RAMONA CITY UNIFIED,Elementary Schools (Public),,,,,FALSE,K,6,471,329,375,468,327,373,TRUE,Elementary School,Unified School District,TRADITIONAL,68304,6039036
181,2015-2016,BALBOA ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,524,453,478,512,445,468,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039168
3057,2015-2016,PARADISE HILLS ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,280,180,240,276,179,237,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6040059
3341,2015-2016,ROSA PARKS ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,5,953,839,915,936,823,898,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6114375
2689,2015-2016,"NONPUBLIC, NONSECTARIAN SCHOOLS",SWEETWATER UNION HIGH,,None,,,,,,,78,7,7,57,7,7,TRUE,,High School District,,68411,1
2017,2015-2016,LAKE ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,859,180,236,859,180,236,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,6107585
1461,2014-2015,HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,1097,149,222,1070,148,220,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,101592
881,2014-2015,DEL MAR HEIGHTS ELEMENTARY,DEL MAR UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,443,18,20,440,18,20,TRUE,Elementary School,Elementary School District,TRADITIONAL,68056,6038111
2709,2014-2015,"NONPUBLIC, NONSECTARIAN SCHOOLS",GROSSMONT UNION HIGH,,,,,,,,,83,4,19,36,3,7,TRUE,,High School District,,68130,1
2185,2014-2015,LOMA ELEMENTARY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,432,237,288,432,237,288,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,6098446
3921,2014-2015,TIERRA BONITA ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,489,58,69,481,57,68,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6095053
9,2016-2017,ABRAXAS CONTINUATION HIGH,POWAY UNIFIED,Continuation High Schools,,,,,FALSE,9,12,234,77,83,100,42,43,TRUE,Other,Unified School District,CONTINUATION SCHOOL,68296,3735842
1909,2016-2017,KING-CHAVEZ ATHLETICS ACADEMY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,706,DIRECTLY FUNDED,TRUE,3,5,190,169,183,190,169,183,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,109041
77,2016-2017,ALCOTT ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,199,82,113,193,80,110,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039119
1429,2016-2017,HARRIET TUBMAN VILLAGE CHARTER,SAN DIEGO UNIFIED,Elementary Schools (Public),,,46,DIRECTLY FUNDED,TRUE,K,8,351,274,319,344,268,312,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6040018
2329,2016-2017,MCGILL SCHOOL OF SUCCESS,SAN DIEGO UNIFIED,Elementary Schools (Public),CEP,,95,DIRECTLY FUNDED,TRUE,K,3,173,118,154,167,115,151,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6113211
1657,2016-2017,INSIGHT @ SAN DIEGO,SPENCER VALLEY ELEMENTARY,K-12 Schools (Public),,,1371,DIRECTLY FUNDED,TRUE,K,12,174,81,99,133,54,70,TRUE,Elementary School,Elementary School District,TRADITIONAL,68403,125401
309,2016-2017,BOBIER ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,651,553,619,633,542,605,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,6040596
1769,2016-2017,JOLI ANN LEICHTAG ELEMENTARY,SAN MARCOS UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,812,514,632,799,507,623,TRUE,Elementary School,Unified School District,TRADITIONAL,73791,116467
1789,2017-2018,JUAN BAUTISTA DE ANZA CHARTER,BORREGO SPRINGS UNIFIED,K-12 Schools (Public),,,1021,DIRECTLY FUNDED,TRUE,K,12,25,16,16,25,16,16,TRUE,Elementary School,Unified School District,TRADITIONAL,67983,136457
3641,2017-2018,SILVER WING ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),Provision 2,,,,FALSE,K,6,407,261,329,407,261,329,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6038004
761,2017-2018,CONWAY ELEMENTARY,ESCONDIDO UNION,Elementary Schools (Public),,,,,FALSE,K,5,566,376,451,553,369,443,TRUE,Elementary School,Elementary School District,TRADITIONAL,68098,6038186
929,2017-2018,DIEGO VALLEY CHARTER,JULIAN UNION ELEMENTARY,K-12 Schools (Public),,,1321,DIRECTLY FUNDED,TRUE,K,12,455,349,388,210,148,166,TRUE,Elementary School,Elementary School District,TRADITIONAL,68163,124271
229,2015-2016,BAYSHORE PREPARATORY CHARTER,SAN MARCOS UNIFIED,K-12 Schools (Public),None,TRUE,723,DIRECTLY FUNDED,TRUE,K,12,112,29,56,111,29,56,TRUE,Elementary School,Unified School District,TRADITIONAL,73791,109785
109,2017-2018,AMERICA'S FINEST CHARTER,SAN DIEGO UNIFIED,K-12 Schools (Public),,,1301,DIRECTLY FUNDED,TRUE,K,12,461,360,360,452,355,355,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,136663
2889,2018-2019,OASIS HIGH (ALTERNATIVE),FALLBROOK UNION HIGH,Alternative Schools of Choice,,,,,FALSE,9,12,80,30,32,75,28,30,TRUE,Other,High School District,ALTERNATIVE SCHOOL OF CHOICE,68122,3730967
1373,2018-2019,GROSSMONT HIGH,GROSSMONT UNION HIGH,High Schools (Public),,,,,FALSE,9,12,2219,861,1258,2141,834,1214,TRUE,High School,High School District,TRADITIONAL,68130,3732625
1813,2018-2019,JULIAN JUNIOR HIGH,JULIAN UNION ELEMENTARY,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,103,53,60,103,53,60,TRUE,Middle School,Elementary School District,TRADITIONAL,68163,6105845
3193,2018-2019,QUEST ACADEMY,LA MESA-SPRING VALLEY,District Community Day Schools,,,,,FALSE,6,8,17,14,14,17,14,14,TRUE,Other,Elementary School District,COMMUNITY DAY SCHOOL,68197,115543
2557,2018-2019,MURRAY MANOR ELEMENTARY,LA MESA-SPRING VALLEY,Elementary Schools (Public),,,,,FALSE,K,6,681,243,280,681,243,280,TRUE,Elementary School,Elementary School District,TRADITIONAL,68197,6038533
2749,2018-2019,"NONPUBLIC, NONSECTARIAN SCHOOLS",MOUNTAIN EMPIRE UNIFIED,,,,,,,,,3,0,0,3,0,0,TRUE,,Unified School District,,68213,1
2017,2016-2017,LAKE ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,821,180,233,821,180,233,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,6107585
1929,2016-2017,KNOB HILL ELEMENTARY,SAN MARCOS UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,846,251,343,829,245,336,TRUE,Elementary School,Unified School District,TRADITIONAL,73791,6107148
397,2017-2018,CAJON VALLEY MIDDLE,CAJON VALLEY UNION,Intermediate/Middle Schools (Public),CEP,,,,FALSE,6,8,915,772,840,915,772,840,TRUE,Middle School,Elementary School District,TRADITIONAL,67991,6037584
1021,2017-2018,EASTLAKE ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,,,,FALSE,K,6,563,142,186,540,138,182,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,6108492
1489,2017-2018,HIDDEN VALLEY MIDDLE,ESCONDIDO UNION,Intermediate/Middle Schools (Public),,,,,FALSE,6,8,967,700,836,967,700,836,TRUE,Middle School,Elementary School District,TRADITIONAL,68098,6093215
