sponsor_id,report_date,academic_year,programgroupyear,sponsorname,meals_group,meals_type,days_served,freeeligible,reducedeligible,paideligible,enrollment,meals_free,meals_reduced,meals_paid,meals_total,freeligible
139,2017-01-01,2016-2017,,WESTERN CONSULTING & ANCILLARY SERVICES INC,ADULT_SNACK_PM,ADULT_SNACK_PM,21,,,,,72,0,13,85,
506,2017-01-01,2016-2017,,CHULA VISTA ELEMENTARY,CHILD_BREAKFAST,CHILD_BREAKFAST,15,,,,,2956,981,1158,5095,
506,2017-01-01,2016-2017,,CHULA VISTA ELEMENTARY,CHILD_LUNCH,CHILD_LUNCH,15,,,,,2914,967,1141,5022,
511,2017-01-01,2016-2017,,ESCONDIDO UNION,ATRISK_CHILD_SNACK,ATRISK_CHILD_SNACK,15,,,,,23524,0,0,23524,
511,2017-01-01,2016-2017,,ESCONDIDO UNION,ATRISK_CHILD_SUPPER,ATRISK_CHILD_SUPPER,15,,,,,3788,0,0,3788,
512,2017-01-01,2016-2017,,ESCONDIDO UNION HIGH,ATRISK_CHILD_SUPPER,ATRISK_CHILD_SUPPER,14,,,,,2599,0,0,2599,
512,2017-01-01,2016-2017,,ESCONDIDO UNION HIGH,CHILD_BREAKFAST,CHILD_BREAKFAST,15,,,,,150,0,8,158,
512,2017-01-01,2016-2017,,ESCONDIDO UNION HIGH,CHILD_LUNCH,CHILD_LUNCH,15,,,,,156,0,8,164,
512,2017-01-01,2016-2017,,ESCONDIDO UNION HIGH,CHILD_SNACK_PM,CHILD_SNACK_PM,15,,,,,139,0,7,146,
513,2017-01-01,2016-2017,,FALLBROOK UNION ELEMENTARY,ATRISK_CHILD_SUPPER,ATRISK_CHILD_SUPPER,20,,,,,8314,0,0,8314,
515,2017-01-01,2016-2017,,GROSSMONT UNION HIGH,ATRISK_CHILD_SUPPER,ATRISK_CHILD_SUPPER,18,,,,,21483,0,0,21483,
517,2017-01-01,2016-2017,,JULIAN UNION ELEMENTARY,ATRISK_CHILD_SNACK_NT,ATRISK_CHILD_SNACK_NT,14,,,,,1054,0,0,1054,
517,2017-01-01,2016-2017,,JULIAN UNION ELEMENTARY,ATRISK_CHILD_SUPPER,ATRISK_CHILD_SUPPER,14,,,,,1482,0,0,1482,
519,2017-01-01,2016-2017,,LA MESA-SPRING VALLEY,ATRISK_CHILD_SNACK,ATRISK_CHILD_SNACK,16,,,,,4800,0,0,4800,
