"ProgramCode","ProgramGroupYear","CountyDesc","ClaimDate","Name","SiteName","MealGroupCode","MealTypeCode","DaysServedQty","MlsServedFree"
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","LOGAN HEIGHTS BRANCH LIBRARY","SFSP_SUPPER","SFSP_SUPPER_VENDED",8,157
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","MAPLEWOOD APARTMENTS","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,50
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","MEMORIAL RECREATION CENTER","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,145
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","MEMORIAL RECREATION CENTER","SFSP_SUPPER","SFSP_SUPPER_VENDED",8,193
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","METRO AREA ADVISORY COMMITTEE (DIFFERENCT FROM HONEY BEE)","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,220
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","PROJECT ACCESS","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,138
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","PROJECT ACCESS","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,285
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","REFLECTIONS","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,556
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","SPRING VALLEY REC CLUB","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,150
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","SPRING VALLEY REC CLUB","SFSP_SUPPER","SFSP_SUPPER_VENDED",8,299
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","SYHC-WIC CHULA VISTA","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,167
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","VALENCIA PARK/MALCOLM X BRANCH LIBRARY","SFSP_SUPPER","SFSP_SUPPER_VENDED",8,183
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","VISTA TERRACE HILLS","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,87
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","WIC NATIONAL CITY","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,109
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","YMCA EARLY ENRICHMENT CENTER","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,385
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","YMCA EARLY ENRICHMENT CENTER","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,449
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","YMCA LEADERSHIP ACADEMY","SFSP_LUNCH","SFSP_LUNCH_VENDED",20,598
"SFSP",2018,"SAN DIEGO","2018-06-01","HEAVEN'S WINDOWS","YMCA LEADERSHIP ACADEMY","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",20,609
"SFSP",2018,"SAN DIEGO","2018-06-01","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","CHINA LAKE YOUTH CENTER","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",18,1042
"SFSP",2018,"SAN DIEGO","2018-06-01","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","CHINA LAKE YOUTH CENTER","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",18,2719
"SFSP",2018,"SAN DIEGO","2018-06-01","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","EL CENTRO NAF","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",18,344
"SFSP",2018,"SAN DIEGO","2018-06-01","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","EL CENTRO NAF","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",18,448
"SFSP",2018,"SAN DIEGO","2018-06-01","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","NBVC YOUTH CENTER, POINT MUGU","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",18,223
"SFSP",2018,"SAN DIEGO","2018-06-01","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","NBVC YOUTH CENTER, POINT MUGU","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",18,246
"SFSP",2018,"SAN DIEGO","2018-06-01","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","NBVC YOUTH CENTER, PORT HUENEME","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",18,206
"SFSP",2018,"SAN DIEGO","2018-06-01","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","NBVC YOUTH CENTER, PORT HUENEME","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",18,217
"SFSP",2018,"SAN DIEGO","2018-06-01","SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION","SALVATION ARMY KROC CENTER","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",10,3209
"SFSP",2018,"SAN DIEGO","2018-06-01","SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION","SDSU UPWARD BOUND","SFSP_LUNCH","SFSP_LUNCH_VENDED",11,386
"SFSP",2018,"SAN DIEGO","2018-06-01","SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION","SDSU UPWARD BOUND STAR","SFSP_LUNCH","SFSP_LUNCH_VENDED",11,329
"SFSP",2018,"SAN DIEGO","2018-06-01","VISTA, CITY OF","BRENGLE TERRACE RECREATION CENTER","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",15,1380
"SFSP",2018,"SAN DIEGO","2018-06-01","VISTA, CITY OF","BRENGLE TERRACE RECREATION CENTER","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",15,1508
"SFSP",2018,"SAN DIEGO","2018-07-01","BOYS & GIRLS CLUB OF GREATER SAN DIEGO","BAKER BRANCH","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,1291
