County Name,ClaimDate,ProgramCode,ProgramGroupYear,Name,MealGroupCode,DaysServedQty,,,,,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,avg
SAN DIEGO,Aug 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,23,,,,,1949,0,61,2010,
SAN DIEGO,Dec 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,19,,,,,1541,0,49,1590,
SAN DIEGO,Feb 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,20,,,,,1653,0,36,1689,
SAN DIEGO,Jan 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,21,,,,,1613,0,51,1664,
SAN DIEGO,Jul 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,21,,,,,1747,0,55,1802,
SAN DIEGO,Jun 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,21,,,,,1672,0,53,1725,
SAN DIEGO,Mar 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,22,,,,,1778,0,56,1834,
SAN DIEGO,May 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,23,,,,,1773,0,56,1829,
SAN DIEGO,Nov 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,20,,,,,1791,0,58,1849,
SAN DIEGO,Oct 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_LUNCH,22,,,,,1969,0,97,2066,
SAN DIEGO,Apr 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,21,,,,,680,0,21,701,
SAN DIEGO,Aug 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,23,,,,,637,0,20,657,
SAN DIEGO,Dec 2017,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,19,,,,,572,0,18,590,
SAN DIEGO,Feb 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,20,,,,,613,0,13,626,
SAN DIEGO,Jan 2018,CACF,2018,OPEN ARMS ADHC INC,ADULT_SNACK_PM,21,,,,,564,0,18,582,
