CountyDesc,FnsReportTypeDesc,FnsReportDate,ProgramCode,ProgramGroupYear,Name,SponsorTypeCode,MealGroupCode,MealTypeCode,SiteQty,DaysServedQty,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,MlsServedFinal,AvgDailyMeals,AvgDailyParticipationQty
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_AM,SFSP_SNACK_AM_VENDED,1,12,859,0,0,859,859,71.5833,71
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,3,12,235,0,0,235,235,19.5833,80
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,Feeding America San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,3,12,736,0,0,736,736,61.3333,80
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,"Navy Region Southwest, Child and Youth Programs",GOVERMENT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,3,12,649,0,0,649,649,54.0833,55
SAN DIEGO,Summer Food Service Program (FNS418),Jun 2015,SFSP,2015,"Navy Region Southwest, Child and Youth Programs",GOVERMENT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,3,12,820,0,0,820,820,68.3333,69
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,5,532,0,0,532,532,106.4,107
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,3,5,1216,0,0,1216,1216,243.2,240
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,1,5,195,0,0,195,195,39,39
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,KAREN ORGANIZATION OF SAN DIEGO,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,1,5,126,0,0,126,126,25.2,26
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,LA JOLLA BAND OF LUISENO,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,1,12,363,0,0,363,363,30.25,30
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,LA JOLLA BAND OF LUISENO,PRIVATENONPROFIT,SFSP_SNACK_AM,SFSP_SNACK_AM_SELFPREP,1,2,295,0,0,295,295,147.5,145
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,HEAVEN'S WINDOWS,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,7,22,2289,0,0,2289,2289,104.0455,125
