sitename,alt_nmaes,sponsorname,district,is_school,school_code,dist_code
OXFORD PREPARATORY ACADEMY - SAN DIEGO COUNTY,OXFORD PREPARATORY ACADEMY - SAN DIEGO COUNTY,,BORREGO SPRINGS UNIFIED,TRUE,,
PHOENIX HIGH,PHOENIX HIGH,,GROSSMONT UNION HIGH,TRUE,,
POWAY ADULT,POWAY ADULT,,POWAY UNIFIED,TRUE,,
RAMONA ADULT,RAMONA ADULT,,RAMONA CITY UNIFIED,TRUE,,
RAMONA COMMUNITY,RAMONA COMMUNITY,,RAMONA CITY UNIFIED,TRUE,,
SAN DIEGO ADULT,SAN DIEGO ADULT,,SAN DIEGO UNIFIED,TRUE,,
SAN DIEGO CONTINUING EDUCATION,SAN DIEGO CONTINUING EDUCATION,,SAN DIEGO COMMUNITY COLLEGE,TRUE,,
SAN DIEGO COUNTY ROP,SAN DIEGO COUNTY ROP,,SAN DIEGO COUNTY ROP,TRUE,,
SAN DIEGO MISSION ACADEMY,SAN DIEGO MISSION ACADEMY,,WARNER UNIFIED,TRUE,,
SAN DIEGUITO ADULT HIGH,SAN DIEGUITO ADULT HIGH,,SAN DIEGUITO UNION HIGH,TRUE,,
SAN DIEGUITO HS ACADEMY,SAN DIEGUITO HS ACADEMY,,SAN DIEGUITO UNION HIGH,TRUE,,
SAN MARCOS ADULT,SAN MARCOS ADULT,,SAN MARCOS UNIFIED,TRUE,,
SANTA ROSA COMMUNITY DAY,SANTA ROSA COMMUNITY DAY,,BORREGO SPRINGS UNIFIED,TRUE,,
SANTANA ADULT CENTER,SANTANA ADULT CENTER,,GROSSMONT UNION HIGH,TRUE,,
SPECIAL EDUCATION PRESCHOOL,SPECIAL EDUCATION PRESCHOOL,,CHULA VISTA ELEMENTARY,TRUE,,
STEELE CANYON ADULT CENTER,STEELE CANYON ADULT CENTER,,GROSSMONT UNION HIGH,TRUE,,
THE LEARNING CHOICE ACADEMY - EAST COUNTY,THE LEARNING CHOICE ACADEMY - EAST COUNTY,,GROSSMONT UNION HIGH,TRUE,,
TRUST BLENDED LEARNING,TRUST BLENDED LEARNING,,LA MESA-SPRING VALLEY,TRUE,,
VALLEY CENTER-PAUMA ADULT,VALLEY CENTER-PAUMA ADULT,,VALLEY CENTER-PAUMA UNIFIED,TRUE,,
