"county","fnsreportdate","fnssubtype","programcode","programgroupyear","sponsorname","sponsortype","mealgroupcode","mealtypecode","siteqty","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","mlsservedfinal","avgdailymeals","avgdailypartic","academicyear"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"FEEDING AMERICA SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",1,20,3925,0,0,3925,3925,196.25,197,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION","PRIVATENONPROFIT","SFSP_BREAKFAST","SFSP_BREAKFAST_VENDED",2,17,1269,0,0,1269,1269,74.6471,75,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_VENDED",2,23,1712,0,0,1712,1712,74.4348,75,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION","PRIVATENONPROFIT","SFSP_SUPPER","SFSP_SUPPER_VENDED",2,12,894,0,0,894,894,74.5,75,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"CAMP OLIVER, INC.","CAMP","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,20,920,0,0,920,920,46,46,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"CAMP OLIVER, INC.","CAMP","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",1,16,706,0,0,706,706,44.125,45,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"CAMP OLIVER, INC.","CAMP","SFSP_SUPPER","SFSP_SUPPER_SELFPREP",1,16,739,0,0,739,739,46.1875,47,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","GOVERMENT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",3,20,1668,0,0,1668,1668,83.4,84,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS","GOVERMENT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",3,20,1973,0,0,1973,1973,98.65,99,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"KAREN ORGANIZATION OF SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",1,6,104,0,0,104,104,17.3333,18,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,5,59,0,0,59,59,11.8,12,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",10,20,2501,0,0,2501,2501,125.05,123,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_SNACK_AM","SFSP_SNACK_AM_SELFPREP",4,15,1356,0,0,1356,1356,90.4,89,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",4,21,1642,0,0,1642,1642,78.1905,77,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"HEAVEN'S WINDOWS","PRIVATENONPROFIT","SFSP_SUPPER","SFSP_SUPPER_SELFPREP",1,16,513,0,0,513,513,32.0625,32,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"LA JOLLA BAND OF LUISENO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",1,10,338,0,0,338,338,33.8,34,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"LA JOLLA BAND OF LUISENO","PRIVATENONPROFIT","SFSP_SNACK_AM","SFSP_SNACK_AM_SELFPREP",1,5,135,0,0,135,135,27,27,"2016-2017"
"SAN DIEGO",2016-07-01,"Summer Food Service Program (FNS418)","SFSP",2016,"ESCONDIDO UNION HIGH SCHOOL DISTRICT","PUBPRIVSCHOOL","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",7,14,3250,0,0,3250,3250,232.1429,228,"2016-2017"
