AgencyRef,AgencyName,Addr1,City,Zip,City Council District,County Board of Supervisor District,State Senate District,State Assembly District,Federal Congressional District
CFDP-1112,CRF New Vistas,734 10th Avenue,San Diego,92101,,,,,
CFDP-2066,CRF Turning Point ,1738 South Tremont Street,Oceanside,92054,,,,,
CFDP-1283,CRF Vista Balboa,545 Laurel Street,San Diego,92101,,,,,
CFDP-2002,Crisis House,1034 North Magnolia Avenue,El Cajon,92020,,,,,
CFDP-1925,Crossroads Christian Ministries,1523 East Main Street,El Cajon,92021,,,,,
CFDP-1073,Crossroads Foundation,3594 Fourth Avenue,San Diego,92103,,,,,
CFD-3005,Cuyamaca College (mobile pantry),900 Ransho San Diego Parkway,El Cajon,92019,,,,,
CFDP-1816,Dayspring Christian Learning Center,1150 Greenfield Drive,El Cajon,92021,,,,,
CSFP-0027,Del Colinas Recreation Center,4260 54th Street,San Diego,92115,,,,,
BP-1588-49,Del Rio Elementary (Oceanside Unified),5200 North River Road,Oceanside,92057,,,,,
JOY-1822,Del Sol Lions Foundation,533 Lomas Sante Fe Drive,Solana Beach,92075,,,,,
CFDP-1075-2,"Downstown, Incorporated",155 Cassou Drive,San Marcos,92069,,,,,
CFDP-3072,E3 Civic High School ,395 11th Avenue ,San Diego ,92101,,,,,
CFDP-1804,East County Transitional Living Center,1527 East Main Street,El Cajon,92021,,,,,
BP-1588-24,Edison Elementary (SDUSD Year Round),4077 35th St.,San Diego,92104,,,,,
CFD-151314,El Cajon 7th Day Adventist,1630 E. Madison Ave.,El Cajon,92019,,,,,
EFAP-D2053,El Cajon Church of Christ,517 Pepper Drive,El Cajon,92021,,,,,
CSFP-0124,El Cajon New Season's Church ,990 Naranca Avenue,El Cajon,92021,,,,,
CFDP-3055,El Cajon Wesleyan Church,1500 East Lexington Avenue,El Cajon,92109,,,,,
OTG-0001,El Camino High School (Oceanside Unified),400 Rancho Del Oro,Oceanside,92057,,,,,
CSFP-0070,El Centro-Catholic Charities ,250 West Orange Avenue,El Centro,92243,,,,,
CFDP-1803,Embrace FFAH 1050B,1050 B Street,San Diego,92101,,,,,
CFDP-1864,Embrace FFAH Brisas Del Mar,1689 Broadway ,Chula Vista,91911,,,,,
CFDP-1803-2,Embrace FFAH Orange Garden ,12510 Oak Knoll Road,Poway,92064,,,,,
EFAP-D4065,Encanto Southern Baptist Church,6020 Akins Avenue,San Diego,92114,,,,,
BP-1588-71,Epiphany Prep School (Escondido Charter School),725 N Escondido Blvd,Escondido,92025,,,,,
CFDP-1455,Episcopal Refugee Network of San Diego,3725 30th Street,San Diego,92105,,,,,
VCH-2018,Escondido Christian Church (Foursquare Gospel),Food Bank Voucher Program,Escondido,92025,,,,,
CFDP-2093,Escondido Community Child Development Center,819 West 9th Ave,Escondido,92025,,,,,
VCH-2019,Escondido Education Compact,Food Bank Voucher Program,Escondido,92025,,,,,
CFDP-1798,Ethridge Recovery Center Incorporated,405 63rd Street,San Diego,92114,,,,,
CFDP-1714,Faith Chapel,9400 Campo Road,Spring Valley,91977,,,,,
CFD-1714,Faith Chapel - Neighborhood Distribution,9400 Campo Road,Spring Valley,91977,,,,,
CFDP-1903,Faith Mountain Pentecostal,12443 Woodside Avenue,Lakeside,92040,,,,,
CFD-151313,Fallbrook Food Pantry,221 North Pico Avenue,Fallbrook,92028,,,,,
CSFP-0096,Fallbrook Food Pantry,1042 S Mission Avenue,Fallbrook,92028,,,,,
EFAP-D1029,Fallbrook Food Pantry,1042 South Mission Road,Fallbrook,92028,,,,,
CFDP-1899,Fallbrook Spanish Seventh Day Adventist Church,439 Iowa Street,Fallbrook,92028,,,,,
CFD-1899,Fallbrook Spanish Seventh Day Adventist Church (Distribution,439 Iowa Street,Fallbrook,92028,,,,,
BP-1588-70,Farr Avenue Elementary (Escondido Union),933 Farr Ave,Escondido,92026,,,,,
CFDP-1934,Feeding the Flock,470 North Mollison Street,El Cajon,92020,,,,,
