"academicyear","countycode","districtcode","schoolcode","countyname","districtname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2018-2019",37,68080,6112445,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","OLIVENHAIN PIONEER ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",570,20,3.5,26,4.6,570,20,3.5,26,4.6,TRUE,"Elementary School"
"2018-2019",37,68080,6117709,"SAN DIEGO","ENCINITAS UNION ELEMENTARY","EL CAMINO CREEK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",587,28,4.8,31,5.3,587,28,4.8,31,5.3,TRUE,"Elementary School"
"2018-2019",37,68098,101535,"SAN DIEGO","ESCONDIDO UNION","HERITAGE K-8 CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,556,"DIRECTLY FUNDED",TRUE,"K","8",1179,364,30.9,506,42.9,1179,364,30.9,506,42.9,TRUE,"Elementary School"
"2018-2019",37,68098,102590,"SAN DIEGO","ESCONDIDO UNION","BEAR VALLEY MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1031,556,53.9,654,63.4,1031,556,53.9,654,63.4,TRUE,"Middle School"
"2018-2019",37,68098,102608,"SAN DIEGO","ESCONDIDO UNION","FARR AVENUE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",614,523,85.2,570,92.8,603,514,85.2,560,92.9,TRUE,"Elementary School"
"2018-2019",37,68098,107862,"SAN DIEGO","ESCONDIDO UNION","REIDY CREEK ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",651,218,33.5,259,39.8,635,216,34,257,40.5,TRUE,"Elementary School"
"2018-2019",37,68098,107870,"SAN DIEGO","ESCONDIDO UNION","BERNARDO ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",580,163,28.1,200,34.5,564,159,28.2,194,34.4,TRUE,"Elementary School"
"2018-2019",37,68098,131813,"SAN DIEGO","ESCONDIDO UNION","QUANTUM ACADEMY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"4","8",305,115,37.7,156,51.1,305,115,37.7,156,51.1,TRUE,"Elementary School"
"2018-2019",37,68098,133991,"SAN DIEGO","ESCONDIDO UNION","EPIPHANY PREP CHARTER","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1802,"DIRECTLY FUNDED",TRUE,"K","8",618,463,74.9,544,88,603,453,75.1,531,88.1,TRUE,"Elementary School"
"2018-2019",37,68098,6038178,"SAN DIEGO","ESCONDIDO UNION","CENTRAL ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",597,470,78.7,528,88.4,585,462,79,520,88.9,TRUE,"Elementary School"
"2018-2019",37,68098,6038186,"SAN DIEGO","ESCONDIDO UNION","CONWAY ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",531,358,67.4,430,81,521,354,67.9,424,81.4,TRUE,"Elementary School"
"2018-2019",37,68098,6038194,"SAN DIEGO","ESCONDIDO UNION","DEL DIOS ACADEMY OF ARTS AND SCIENCES","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"6","8",784,588,75,665,84.8,784,588,75,665,84.8,TRUE,"Middle School"
"2018-2019",37,68098,6038202,"SAN DIEGO","ESCONDIDO UNION","FELICITA ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",541,424,78.4,480,88.7,532,417,78.4,471,88.5,TRUE,"Elementary School"
"2018-2019",37,68098,6038210,"SAN DIEGO","ESCONDIDO UNION","MISSION MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"6","8",992,809,81.6,922,92.9,992,809,81.6,922,92.9,TRUE,"Middle School"
"2018-2019",37,68098,6038228,"SAN DIEGO","ESCONDIDO UNION","JUNIPER ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","5",625,494,79,548,87.7,615,487,79.2,541,88,TRUE,"Elementary School"
