"academicyear","countycode","districtcode","schoolcode","countyname","districtname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2018-2019",37,68338,124347,"SAN DIEGO","SAN DIEGO UNIFIED","CITY HEIGHTS PREPARATORY CHARTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1312,"DIRECTLY FUNDED",TRUE,"6","12",119,118,99.2,119,100,114,113,99.1,114,100,TRUE,"Elementary School"
"2018-2019",37,68338,126730,"SAN DIEGO","SAN DIEGO UNIFIED","KAVOD CHARTER","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1447,"DIRECTLY FUNDED",TRUE,"K","5",214,40,18.7,52,24.3,207,39,18.8,51,24.6,TRUE,"Elementary School"
"2018-2019",37,68338,126938,"SAN DIEGO","SAN DIEGO UNIFIED","HOME & HOSP/TRANSITION SUPPORT","Unified School District","K-12 Schools (Public)","HOME AND HOSPITAL",NA,NA,NA,NA,FALSE,"K","12",90,49,54.4,53,58.9,85,48,56.5,50,58.8,TRUE,"Elementary School"
"2018-2019",37,68338,127647,"SAN DIEGO","SAN DIEGO UNIFIED","E3 CIVIC HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,1302,"DIRECTLY FUNDED",TRUE,"9","12",376,236,62.8,276,73.4,363,226,62.3,265,73,TRUE,"High School"
"2018-2019",37,68338,128066,"SAN DIEGO","SAN DIEGO UNIFIED","HEALTH SCIENCES MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,1517,"DIRECTLY FUNDED",TRUE,"6","8",99,61,61.6,73,73.7,99,61,61.6,73,73.7,TRUE,"Middle School"
"2018-2019",37,68338,129387,"SAN DIEGO","SAN DIEGO UNIFIED","EMPOWER CHARTER","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1634,"DIRECTLY FUNDED",TRUE,"K","6",140,89,63.6,103,73.6,134,85,63.4,98,73.1,TRUE,"Elementary School"
"2018-2019",37,68338,129395,"SAN DIEGO","SAN DIEGO UNIFIED","ELEVATE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1633,"DIRECTLY FUNDED",TRUE,"K","5",319,60,18.8,114,35.7,319,60,18.8,114,35.7,TRUE,"Elementary School"
"2018-2019",37,68338,131565,"SAN DIEGO","SAN DIEGO UNIFIED","HIGH TECH ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,1709,"DIRECTLY FUNDED",TRUE,"K","5",399,178,44.6,225,56.4,399,178,44.6,225,56.4,TRUE,"Elementary School"
"2018-2019",37,68338,131979,"SAN DIEGO","SAN DIEGO UNIFIED","INGENUITY CHARTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1719,"DIRECTLY FUNDED",TRUE,"6","12",211,138,65.4,150,71.1,177,119,67.2,128,72.3,TRUE,"Elementary School"
"2018-2019",37,68338,132316,"SAN DIEGO","SAN DIEGO UNIFIED","JONAS SALK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",661,182,27.5,249,37.7,646,177,27.4,242,37.5,TRUE,"Elementary School"
"2018-2019",37,68338,135913,"SAN DIEGO","SAN DIEGO UNIFIED","URBAN DISCOVERY ACADEMY CHARTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1008,"DIRECTLY FUNDED",TRUE,"K","12",578,183,31.7,212,36.7,567,180,31.7,209,36.9,TRUE,"Elementary School"
"2018-2019",37,68338,136663,"SAN DIEGO","SAN DIEGO UNIFIED","AMERICA'S FINEST CHARTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1301,"DIRECTLY FUNDED",TRUE,"K","12",446,406,91,428,96,436,397,91.1,418,95.9,TRUE,"Elementary School"
"2018-2019",37,68338,137802,"SAN DIEGO","SAN DIEGO UNIFIED","NATIONAL UNIVERSITY ACADEMY 1001 STEAM","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,1981,"DIRECTLY FUNDED",TRUE,"6","12",113,85,75.2,88,77.9,105,81,77.1,84,80,TRUE,"Elementary School"
"2018-2019",37,68338,3730116,"SAN DIEGO","SAN DIEGO UNIFIED","JOHN MUIR LANGUAGE ACADEMY","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","12",189,90,47.6,122,64.6,189,90,47.6,122,64.6,TRUE,"Elementary School"
"2018-2019",37,68338,3730173,"SAN DIEGO","SAN DIEGO UNIFIED","SERRA HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1466,516,35.2,750,51.2,1428,501,35.1,728,51,TRUE,"High School"
"2018-2019",37,68338,3730181,"SAN DIEGO","SAN DIEGO UNIFIED","MIRA MESA HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2400,792,33,1060,44.2,2338,762,32.6,1027,43.9,TRUE,"High School"
"2018-2019",37,68338,3730231,"SAN DIEGO","SAN DIEGO UNIFIED","TWAIN HIGH","Unified School District","Continuation High Schools","CONTINUATION SCHOOL","CEP",NA,NA,NA,FALSE,"7","12",315,230,73,255,81,276,201,72.8,224,81.2,TRUE,"Other"
"2018-2019",37,68338,3730314,"SAN DIEGO","SAN DIEGO UNIFIED","UNIVERSITY CITY HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1838,584,31.8,730,39.7,1809,575,31.8,718,39.7,TRUE,"High School"
"2018-2019",37,68338,3730363,"SAN DIEGO","SAN DIEGO UNIFIED","WHITTIER K-12","Unified School District","Opportunity Schools","OPPORTUNITY SCHOOL",NA,NA,NA,NA,FALSE,"K","12",52,28,53.8,34,65.4,46,26,56.5,32,69.6,TRUE,"Other"
"2018-2019",37,68338,3730371,"SAN DIEGO","SAN DIEGO UNIFIED","SAN DIEGO SCPA","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","12",1429,566,39.6,779,54.5,1415,556,39.3,769,54.3,TRUE,"Elementary School"
"2018-2019",37,68338,3730751,"SAN DIEGO","SAN DIEGO UNIFIED","MT. EVEREST ACADEMY","Unified School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"K","12",266,42,15.8,45,16.9,261,41,15.7,44,16.9,TRUE,"Other"
"2018-2019",37,68338,3730884,"SAN DIEGO","SAN DIEGO UNIFIED","SCRIPPS RANCH HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2179,280,12.8,324,14.9,2149,278,12.9,322,15,TRUE,"High School"
"2018-2019",37,68338,3730959,"SAN DIEGO","SAN DIEGO UNIFIED","CHARTER SCHOOL OF SAN DIEGO","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,28,"DIRECTLY FUNDED",TRUE,"7","12",1496,877,58.6,1028,68.7,1224,711,58.1,832,68,TRUE,"High School"
"2018-2019",37,68338,3731056,"SAN DIEGO","SAN DIEGO UNIFIED","TRACE","Unified School District","Special Education Schools (Public)","SPECIAL EDUCATION SCHOOL",NA,NA,NA,NA,FALSE,"9","12",481,298,62,362,75.3,16,11,68.8,12,75,TRUE,"Other"
"2018-2019",37,68338,3731130,"SAN DIEGO","SAN DIEGO UNIFIED","ALBA","Unified School District","District Community Day Schools","COMMUNITY DAY SCHOOL",NA,NA,NA,NA,FALSE,"1","12",38,32,84.2,33,86.8,38,32,84.2,33,86.8,TRUE,"Other"
"2018-2019",37,68338,3731189,"SAN DIEGO","SAN DIEGO UNIFIED","PREUSS SCHOOL UCSD","Unified School District","K-12 Schools (Public)","TRADITIONAL","CEP",NA,169,"DIRECTLY FUNDED",TRUE,"6","12",836,672,80.4,793,94.9,833,670,80.4,791,95,TRUE,"Elementary School"
"2018-2019",37,68338,3731213,"SAN DIEGO","SAN DIEGO UNIFIED","CLAIREMONT HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",909,418,46,493,54.2,886,410,46.3,482,54.4,TRUE,"High School"
"2018-2019",37,68338,3731247,"SAN DIEGO","SAN DIEGO UNIFIED","HIGH TECH HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,269,"DIRECTLY FUNDED",TRUE,"9","12",525,179,34.1,225,42.9,514,176,34.2,222,43.2,TRUE,"High School"
"2018-2019",37,68338,3731395,"SAN DIEGO","SAN DIEGO UNIFIED","AUDEO CHARTER","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,406,"DIRECTLY FUNDED",TRUE,"K","12",518,263,50.8,311,60,439,217,49.4,258,58.8,TRUE,"Elementary School"
"2018-2019",37,68338,3731551,"SAN DIEGO","SAN DIEGO UNIFIED","CREATIVE PERFORMING AND MEDIA ARTS","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"6","8",939,576,61.3,695,74,939,576,61.3,695,74,TRUE,"Middle School"
"2018-2019",37,68338,3732781,"SAN DIEGO","SAN DIEGO UNIFIED","HENRY HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2424,743,30.7,994,41,2373,726,30.6,966,40.7,TRUE,"High School"
"2018-2019",37,68338,3732997,"SAN DIEGO","SAN DIEGO UNIFIED","HOOVER HIGH","Unified School District","High Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"9","12",2167,1722,79.5,1953,90.1,2087,1657,79.4,1880,90.1,TRUE,"High School"
"2018-2019",37,68338,3733508,"SAN DIEGO","SAN DIEGO UNIFIED","LA JOLLA HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1406,275,19.6,329,23.4,1368,272,19.9,324,23.7,TRUE,"High School"
"2018-2019",37,68338,3733698,"SAN DIEGO","SAN DIEGO UNIFIED","MADISON HIGH","Unified School District","High Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"9","12",967,508,52.5,651,67.3,944,495,52.4,636,67.4,TRUE,"High School"
"2018-2019",37,68338,3734431,"SAN DIEGO","SAN DIEGO UNIFIED","MISSION BAY HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1117,483,43.2,618,55.3,1090,472,43.3,602,55.2,TRUE,"High School"
"2018-2019",37,68338,3734654,"SAN DIEGO","SAN DIEGO UNIFIED","MORSE HIGH","Unified School District","High Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"9","12",1718,1080,62.9,1360,79.2,1679,1050,62.5,1324,78.9,TRUE,"High School"
"2018-2019",37,68338,3735750,"SAN DIEGO","SAN DIEGO UNIFIED","POINT LOMA HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1907,532,27.9,675,35.4,1862,518,27.8,658,35.3,TRUE,"High School"
"2018-2019",37,68338,3737962,"SAN DIEGO","SAN DIEGO UNIFIED","GARFIELD HIGH","Unified School District","Continuation High Schools","CONTINUATION SCHOOL","CEP",NA,NA,NA,FALSE,"9","12",268,222,82.8,251,93.7,191,154,80.6,176,92.1,TRUE,"Other"
"2018-2019",37,68338,6039101,"SAN DIEGO","SAN DIEGO UNIFIED","ADAMS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",276,191,69.2,237,85.9,271,188,69.4,233,86,TRUE,"Elementary School"
"2018-2019",37,68338,6039119,"SAN DIEGO","SAN DIEGO UNIFIED","ALCOTT ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",195,70,35.9,89,45.6,190,68,35.8,87,45.8,TRUE,"Elementary School"
"2018-2019",37,68338,6039135,"SAN DIEGO","SAN DIEGO UNIFIED","ANGIER ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",480,174,36.3,298,62.1,466,171,36.7,289,62,TRUE,"Elementary School"
"2018-2019",37,68338,6039143,"SAN DIEGO","SAN DIEGO UNIFIED","AUDUBON K-8","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","8",500,368,73.6,435,87,494,364,73.7,431,87.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039150,"SAN DIEGO","SAN DIEGO UNIFIED","BAKER ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",433,374,86.4,415,95.8,419,364,86.9,403,96.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039168,"SAN DIEGO","SAN DIEGO UNIFIED","BALBOA ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",507,450,88.8,487,96.1,497,441,88.7,478,96.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039184,"SAN DIEGO","SAN DIEGO UNIFIED","BARNARD ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",515,115,22.3,141,27.4,497,115,23.1,140,28.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039200,"SAN DIEGO","SAN DIEGO UNIFIED","BAY PARK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",502,89,17.7,116,23.1,488,87,17.8,113,23.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039242,"SAN DIEGO","SAN DIEGO UNIFIED","BIRD ROCK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",450,35,7.8,42,9.3,439,33,7.5,40,9.1,TRUE,"Elementary School"
"2018-2019",37,68338,6039259,"SAN DIEGO","SAN DIEGO UNIFIED","BIRNEY ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",544,203,37.3,261,48,527,199,37.8,254,48.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039267,"SAN DIEGO","SAN DIEGO UNIFIED","BOONE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",440,289,65.7,336,76.4,427,281,65.8,326,76.3,TRUE,"Elementary School"
"2018-2019",37,68338,6039283,"SAN DIEGO","SAN DIEGO UNIFIED","BURBANK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",410,349,85.1,394,96.1,404,344,85.1,388,96,TRUE,"Elementary School"
"2018-2019",37,68338,6039291,"SAN DIEGO","SAN DIEGO UNIFIED","CABRILLO ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","4",149,62,41.6,98,65.8,147,62,42.2,96,65.3,TRUE,"Elementary School"
"2018-2019",37,68338,6039309,"SAN DIEGO","SAN DIEGO UNIFIED","CADMAN ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",191,86,45,107,56,186,84,45.2,105,56.5,TRUE,"Elementary School"
"2018-2019",37,68338,6039341,"SAN DIEGO","SAN DIEGO UNIFIED","CARSON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",378,289,76.5,333,88.1,371,285,76.8,328,88.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039358,"SAN DIEGO","SAN DIEGO UNIFIED","CARVER ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",191,132,69.1,162,84.8,186,128,68.8,157,84.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039366,"SAN DIEGO","SAN DIEGO UNIFIED","CENTRAL ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",644,571,88.7,626,97.2,633,562,88.8,617,97.5,TRUE,"Elementary School"
"2018-2019",37,68338,6039374,"SAN DIEGO","SAN DIEGO UNIFIED","CHESTERTON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",453,121,26.7,228,50.3,444,120,27,222,50,TRUE,"Elementary School"
"2018-2019",37,68338,6039382,"SAN DIEGO","SAN DIEGO UNIFIED","CHOLLAS/MEAD ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",592,506,85.5,558,94.3,584,499,85.4,551,94.3,TRUE,"Elementary School"
"2018-2019",37,68338,6039390,"SAN DIEGO","SAN DIEGO UNIFIED","CLAY ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",301,201,66.8,240,79.7,296,198,66.9,237,80.1,TRUE,"Elementary School"
"2018-2019",37,68338,6039424,"SAN DIEGO","SAN DIEGO UNIFIED","CROWN POINT ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",318,142,44.7,182,57.2,310,139,44.8,178,57.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039432,"SAN DIEGO","SAN DIEGO UNIFIED","CUBBERLEY ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",171,66,38.6,80,46.8,166,64,38.6,78,47,TRUE,"Elementary School"
"2018-2019",37,68338,6039440,"SAN DIEGO","SAN DIEGO UNIFIED","CURIE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",583,48,8.2,58,9.9,571,48,8.4,58,10.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039457,"SAN DIEGO","SAN DIEGO UNIFIED","DARNALL CHARTER","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,33,"DIRECTLY FUNDED",TRUE,"K","8",653,449,68.8,500,76.6,629,437,69.5,487,77.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039481,"SAN DIEGO","SAN DIEGO UNIFIED","DEWEY ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","4",377,125,33.2,269,71.4,369,122,33.1,264,71.5,TRUE,"Elementary School"
"2018-2019",37,68338,6039499,"SAN DIEGO","SAN DIEGO UNIFIED","EDISON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",404,361,89.4,390,96.5,392,352,89.8,381,97.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039507,"SAN DIEGO","SAN DIEGO UNIFIED","EMERSON/BANDINI ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",426,376,88.3,410,96.2,419,372,88.8,404,96.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039515,"SAN DIEGO","SAN DIEGO UNIFIED","ENCANTO ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",488,417,85.5,456,93.4,477,406,85.1,445,93.3,TRUE,"Elementary School"
"2018-2019",37,68338,6039523,"SAN DIEGO","SAN DIEGO UNIFIED","EUCLID ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",497,435,87.5,476,95.8,486,427,87.9,466,95.9,TRUE,"Elementary School"
"2018-2019",37,68338,6039556,"SAN DIEGO","SAN DIEGO UNIFIED","FIELD ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",305,202,66.2,242,79.3,295,196,66.4,234,79.3,TRUE,"Elementary School"
"2018-2019",37,68338,6039564,"SAN DIEGO","SAN DIEGO UNIFIED","FLETCHER ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",163,98,60.1,115,70.6,156,96,61.5,113,72.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039572,"SAN DIEGO","SAN DIEGO UNIFIED","FLORENCE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",236,116,49.2,165,69.9,226,114,50.4,162,71.7,TRUE,"Elementary School"
"2018-2019",37,68338,6039598,"SAN DIEGO","SAN DIEGO UNIFIED","FOSTER ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",414,195,47.1,239,57.7,404,191,47.3,234,57.9,TRUE,"Elementary School"
"2018-2019",37,68338,6039606,"SAN DIEGO","SAN DIEGO UNIFIED","FRANKLIN ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",378,210,55.6,265,70.1,365,204,55.9,256,70.1,TRUE,"Elementary School"
"2018-2019",37,68338,6039614,"SAN DIEGO","SAN DIEGO UNIFIED","FREESE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",293,206,70.3,247,84.3,286,202,70.6,243,85,TRUE,"Elementary School"
"2018-2019",37,68338,6039630,"SAN DIEGO","SAN DIEGO UNIFIED","FULTON K-8","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","8",327,234,71.6,268,82,323,230,71.2,264,81.7,TRUE,"Elementary School"
"2018-2019",37,68338,6039648,"SAN DIEGO","SAN DIEGO UNIFIED","GAGE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",576,190,33,233,40.5,553,184,33.3,226,40.9,TRUE,"Elementary School"
"2018-2019",37,68338,6039655,"SAN DIEGO","SAN DIEGO UNIFIED","GARFIELD ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",227,157,69.2,191,84.1,222,153,68.9,186,83.8,TRUE,"Elementary School"
"2018-2019",37,68338,6039671,"SAN DIEGO","SAN DIEGO UNIFIED","GRANT K-8","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","8",721,170,23.6,206,28.6,716,170,23.7,205,28.6,TRUE,"Elementary School"
"2018-2019",37,68338,6039697,"SAN DIEGO","SAN DIEGO UNIFIED","GREEN ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",454,112,24.7,151,33.3,442,110,24.9,149,33.7,TRUE,"Elementary School"
"2018-2019",37,68338,6039705,"SAN DIEGO","SAN DIEGO UNIFIED","HAMILTON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",499,409,82,449,90,484,397,82,436,90.1,TRUE,"Elementary School"
"2018-2019",37,68338,6039713,"SAN DIEGO","SAN DIEGO UNIFIED","HARDY ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",344,143,41.6,192,55.8,339,141,41.6,190,56,TRUE,"Elementary School"
"2018-2019",37,68338,6039721,"SAN DIEGO","SAN DIEGO UNIFIED","HAWTHORNE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","Provision 2",NA,NA,NA,FALSE,"K","6",246,110,44.7,147,59.8,238,107,45,142,59.7,TRUE,"Elementary School"
"2018-2019",37,68338,6039739,"SAN DIEGO","SAN DIEGO UNIFIED","HEARST ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",513,81,15.8,97,18.9,498,79,15.9,93,18.7,TRUE,"Elementary School"
"2018-2019",37,68338,6039747,"SAN DIEGO","SAN DIEGO UNIFIED","HOLMES ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",559,85,15.2,105,18.8,544,83,15.3,102,18.8,TRUE,"Elementary School"
"2018-2019",37,68338,6039754,"SAN DIEGO","SAN DIEGO UNIFIED","HORTON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",402,375,93.3,396,98.5,392,367,93.6,386,98.5,TRUE,"Elementary School"
"2018-2019",37,68338,6039762,"SAN DIEGO","SAN DIEGO UNIFIED","FAY ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",592,523,88.3,570,96.3,581,513,88.3,559,96.2,TRUE,"Elementary School"
"2018-2019",37,68338,6039770,"SAN DIEGO","SAN DIEGO UNIFIED","JEFFERSON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",422,231,54.7,285,67.5,411,227,55.2,281,68.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039788,"SAN DIEGO","SAN DIEGO UNIFIED","JOHNSON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",305,248,81.3,282,92.5,297,240,80.8,274,92.3,TRUE,"Elementary School"
"2018-2019",37,68338,6039796,"SAN DIEGO","SAN DIEGO UNIFIED","JONES ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",290,107,36.9,139,47.9,285,106,37.2,138,48.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039804,"SAN DIEGO","SAN DIEGO UNIFIED","JUAREZ ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",257,93,36.2,124,48.2,247,92,37.2,122,49.4,TRUE,"Elementary School"
"2018-2019",37,68338,6039812,"SAN DIEGO","SAN DIEGO UNIFIED","KEILLER LEADERSHIP ACADEMY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,695,"DIRECTLY FUNDED",TRUE,"K","8",621,444,71.5,526,84.7,614,439,71.5,519,84.5,TRUE,"Elementary School"
"2018-2019",37,68338,6039846,"SAN DIEGO","SAN DIEGO UNIFIED","LA JOLLA ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",572,60,10.5,63,11,569,59,10.4,62,10.9,TRUE,"Elementary School"
"2018-2019",37,68338,6039853,"SAN DIEGO","SAN DIEGO UNIFIED","LAFAYETTE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",266,180,67.7,222,83.5,255,175,68.6,216,84.7,TRUE,"Elementary School"
"2018-2019",37,68338,6039861,"SAN DIEGO","SAN DIEGO UNIFIED","PACIFIC VIEW LEADERSHIP ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",261,167,64,205,78.5,259,166,64.1,204,78.8,TRUE,"Elementary School"
