site_id,sitename,address,city,state,zip,lat,lon,accuracy,bos_district,council_distict,councill_code,elementary_dist,hs_dist,unified_dist,state_assembly_dist,state_senate_dist,congressional_dist
419,GATEWAY CYP,2741 MENDONCA DRIVE,SAN DIEGO,CA,92110,33,-117,HIGH,4,2,SD,,,UNIFIED SAN DIEGO,78,39,52
420,GEORGE NICOLOFF ELEMENTARY,1777 HOWARD AVE.,SAN YSIDRO,CA,92173,33,-117,HIGH,1,8,SD,GEN ELEM SOUTH BAY UNION,HIGH SWEETWATER UNION,,80,40,51
422,GLEN VIEW ELEMENTARY,2201 East Mission Avenue,Escondido,CA,92027,33,-117,HIGH,3,1,ES,GEN ELEM ESCONDIDO UNION,HIGH ESCONDIDO UNION,,75,38,50
424,GODFREY G. BERRY ELEMENTARY,2001 RIMBEY ST.,SAN DIEGO,CA,92154,33,-117,HIGH,1,8,SD,GEN ELEM SOUTH BAY UNION,HIGH SWEETWATER UNION,,80,40,51
425,GOLDEN HILL K-8,1240 33RD ST.,SAN DIEGO,CA,92102,33,-117,HIGH,4,3,SD,,,UNIFIED SAN DIEGO,80,39,53
426,GOLDEN HILL RECREATION CENTER,2600 GOLF COURSE DRIVE,SAN DIEGO,CA,92102,33,-117,HIGH,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
427,GOMPERS PREPARATORY ACADEMY,1005 47th Street,San Diego,CA,92102,33,-117,HIGH,1,4,SD,,,UNIFIED SAN DIEGO,80,40,51
429,GRACIA Y PAZ,960 5TH AVENUE,CHULA VISTA,CA,91911,33,-117,HIGH,1,4,CV,"GEN BOND CHULA VISTA-SFID 1 2012C,PROP E 11/06/12",HIGH SWEETWATER UNION,,80,40,51
430,GRANGER JUNIOR HIGH,2101 GRANGER AVE.,NATIONAL CITY,CA,91950,33,-117,HIGH,1,,,GEN ELEM NATIONAL,HIGH SWEETWATER UNION,,79,40,51
431,GRANITE HILLS HIGH,1719 EAST MADISON AVE.,EL CAJON,CA,92019,33,-117,HIGH,2,3,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,50
432,GRANT K-8,1425 Washington Place,San Diego,CA,92103,33,-117,HIGH,4,3,SD,,,UNIFIED SAN DIEGO,78,39,53
433,GRAPEVINE ELEMENTARY,630 GRAPEVINE RD.,VISTA,CA,92083,33,-117,HIGH,5,3,VS,,,UNIFIED VISTA,76,36,49
435,GREATER SAN DIEGO ACADEMY,14567 Lyons Valley Road,Jamul,CA,91935,33,-117,HIGH,2,,,GEN ELEM JAMUL-DULZURA UNION,HIGH GROSSMONT UNION,,71,40,50
436,GREEN ELEMENTARY,7030 Wandermere Place,San Diego,CA,92119,33,-117,HIGH,2,7,SD,,,UNIFIED SAN DIEGO,79,39,53
437,GREENFIELD MIDDLE,1495 GREENFIELD DR.,EL CAJON,CA,92021,33,-117,HIGH,2,3,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,50
439,GROSSMONT ADULT,1550 Melody Lane,El Cajon,CA,92019,33,-117,HIGH,2,3,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,50
440,GROSSMONT HIGH,1100 MURRAY DR.,LA MESA,CA,91942,33,-117,HIGH,2,,,GEN ELEM LA MESA-SPRING VALLEY,HIGH GROSSMONT UNION,,79,38,53
441,GROSSMONT MIDDLE COLLEGE HIGH,8800 Grossmont College Drive,El Cajon,CA,92020,33,-117,HIGH,2,1,EC,GEN ELEM SANTEE,HIGH GROSSMONT UNION,,71,38,53
442,GROSSMONT SECONDARY,111 Fletcher Parkway,El Cajon,CA,92020,33,-117,HIGH,2,1,EC,GEN ELEM CAJON VALLEY UNION,HIGH GROSSMONT UNION,,71,38,53
