site_id,sitename,district,is_school,school_code,district_code
1089,SAN MARCOS MIDDLE,SAN MARCOS UNIFIED,1,6039093,73791
1090,SAN MIGUEL ELEMENTARY,LEMON GROVE,1,6038665,68205
1091,SAN ONOFRE ELEMENTARY,FALLBROOK UNION ELEMENTARY,1,6096515,68114
1092,SAN PASQUAL ACADEMY,SAN DIEGO COUNTY OFFICE OF EDUCATION,1,115998,10371
1093,SAN PASQUAL BALLFIELDS,,0,,
1094,SAN PASQUAL HIGH,ESCONDIDO UNION HIGH,1,3730058,68106
1095,SAN PASQUAL UNION ELEMENTARY,SAN PASQUAL UNION ELEMENTARY,1,6040331,68353
1096,SAN YSIDRO ADULT EDUCATION CENTER,,0,,
1097,SAN YSIDRO COMMUNITY ACTIVITY CENTER,,0,,
1098,SAN YSIDRO HIGH,SWEETWATER UNION HIGH,1,3731502,68411
1099,SAN YSIDRO MIDDLE,SAN YSIDRO ELEMENTARY,1,6098453,68379
1100,SANDBURG ELEMENTARY,SAN DIEGO UNIFIED,1,6089049,68338
1101,SANTA MARGARITA ACADEMY,FALLBROOK UNION ELEMENTARY,1,115519,68114
1102,SANTA MARGARITA ELEMENTARY,OCEANSIDE UNIFIED,1,6038913,73569
1103,SANTA ROSA COMMUNITY DAY,BORREGO SPRINGS UNIFIED,1,,
1104,SANTA YSABEL BALL FIELDS,,0,,
1105,SANTANA ADULT CENTER,GROSSMONT UNION HIGH,1,,
1106,SANTANA HIGH,GROSSMONT UNION HIGH,1,3737905,68130
1107,SANTEE ALTERNATIVE,SANTEE,1,6111041,68361
1108,SANTEE ASES PROGRAM,,0,,
1109,SANTEE RECREATION CENTER,,0,,
1110,SANTEE SUCCESS PROGRAM,SANTEE,1,6120190,68361
1111,SCHOLARSHIP PREP - OCEANSIDE,SAN DIEGO COUNTY OFFICE OF EDUCATION,1,136085,10371
1112,SCHOOL FOR ENTREPRENEURSHIP AND TECHNOLOGY,SAN DIEGO UNIFIED,1,122788,68338
1113,SCHOOL OF UNIVERSAL LEARNING (SOUL),SAN DIEGO COUNTY OFFICE OF EDUCATION,1,136192,10371
