"county","fnsreportdate","fnssubtype","programcode","ProgramGroupYear","sponsorname","sponsortype_a","sponsortype_b","mealgroupcode","mealtypecode","siteqty","daysservedqty","freeeligqty","redceligqty","paideligqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","avgdailymeals","academicyear"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,5,0,0,692,1024,0,0,1024,204.8,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,5,0,0,692,1226,0,0,1226,245.2,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"FALLBROOK UNION ELEMENTARY SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",2,22,0,0,6610,6610,0,0,6610,300.45,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SOUTH BAY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,12,0,0,111,1102,0,0,1102,91.83,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SOUTH BAY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",14,12,0,0,1148,6524,0,0,6524,878.67,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SOUTH BAY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKAM","SSFO_SNACKAM",4,2,0,0,407,786,0,0,786,393,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SOUTH BAY UNION SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",9,12,0,0,414,3899,0,0,3899,324.92,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SAN MARCOS UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,7,0,0,169,626,0,0,626,89.43,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SAN MARCOS UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",4,9,0,0,1270,6143,0,0,6143,1144.98,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,7,0,0,30,177,0,0,177,25.29,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",10,10,0,0,886,4904,0,0,4904,724.33,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",33,10,0,0,3481,19463,0,0,19463,2856.66,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",21,7,0,0,927,5303,0,0,5303,757.57,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"RAMONA CITY UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",1,12,0,0,415,2650,0,0,2650,220.83,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"LEMON GROVE SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",5,7,0,0,580,2668,0,0,2668,381.14,"2014-2015"
"SAN DIEGO",2015-06-01,"CLOSEOUT","SSFO",2015,"LEMON GROVE SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",1,7,0,0,150,690,0,0,690,98.57,"2014-2015"
"SAN DIEGO",2014-01-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST",1,10,0,0,68,649,0,0,649,64.9,"2013-2014"
"SAN DIEGO",2014-01-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",15,10,0,0,792,7202,0,0,7202,720.2,"2013-2014"
"SAN DIEGO",2014-01-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_SNACKPM","SSFO_SNACKPM",13,10,0,0,617,5783,0,0,5783,578.3,"2013-2014"
"SAN DIEGO",2014-04-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST",2,19,0,0,94,1573,0,0,1573,86.83,"2013-2014"
"SAN DIEGO",2014-04-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_BREAKFAST","SSFO_BREAKFAST_SEVERENEED",1,14,0,0,115,876,0,0,876,62.57,"2013-2014"
"SAN DIEGO",2014-04-01,"School Nutrition Programs/State Meal Only (FNS10)","SSFO",2014,"SAN DIEGO UNIFIED SCHOOL DISTRICT","SCHOOL","PUBLIC","SSFO_LUNCH","SSFO_LUNCH",19,19,0,0,1224,19835,0,0,19835,1086.92,"2013-2014"
