siteid,ClaimDate,ProgramGroupYear,SiteName,Name,sponsor_id,MealGroupCode,MealTypeCode,DaysServedQty,MlsServedFree
4637,2018-06-01,2018,LINDA VISTA BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,8,152
4641,2018-06-01,2018,LOGAN HEIGHTS BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,8,157
4645,2018-06-01,2018,MAPLEWOOD APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,50
4649,2018-06-01,2018,MEMORIAL RECREATION CENTER,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,145
4649,2018-06-01,2018,MEMORIAL RECREATION CENTER,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,8,193
4653,2018-06-01,2018,METRO AREA ADVISORY COMMITTEE (DIFFERENCT FROM HONEY BEE),HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,220
4677,2018-06-01,2018,PROJECT ACCESS,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,138
4677,2018-06-01,2018,PROJECT ACCESS,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,285
4681,2018-06-01,2018,REFLECTIONS,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,556
4689,2018-06-01,2018,SPRING VALLEY REC CLUB,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,150
4689,2018-06-01,2018,SPRING VALLEY REC CLUB,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,8,299
4693,2018-06-01,2018,SYHC-WIC CHULA VISTA,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,167
4697,2018-06-01,2018,VALENCIA PARK/MALCOLM X BRANCH LIBRARY,HEAVEN'S WINDOWS,204,SFSP_SUPPER,SFSP_SUPPER_VENDED,8,183
4713,2018-06-01,2018,VISTA TERRACE HILLS,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,87
4717,2018-06-01,2018,WIC NATIONAL CITY,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,109
4721,2018-06-01,2018,YMCA EARLY ENRICHMENT CENTER,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,385
4721,2018-06-01,2018,YMCA EARLY ENRICHMENT CENTER,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,449
4725,2018-06-01,2018,YMCA LEADERSHIP ACADEMY,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,20,598
4725,2018-06-01,2018,YMCA LEADERSHIP ACADEMY,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,20,609
4769,2018-06-01,2018,CHINA LAKE YOUTH CENTER,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",268,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,18,1042
4769,2018-06-01,2018,CHINA LAKE YOUTH CENTER,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",268,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,18,2719
4773,2018-06-01,2018,EL CENTRO NAF,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",268,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,18,344
4773,2018-06-01,2018,EL CENTRO NAF,"NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",268,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,18,448
4777,2018-06-01,2018,"NBVC YOUTH CENTER, POINT MUGU","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",268,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,18,223
4777,2018-06-01,2018,"NBVC YOUTH CENTER, POINT MUGU","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",268,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,18,246
4781,2018-06-01,2018,"NBVC YOUTH CENTER, PORT HUENEME","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",268,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,18,206
4781,2018-06-01,2018,"NBVC YOUTH CENTER, PORT HUENEME","NAVY REGION SOUTHWEST, CHILD AND YOUTH PROGRAMS",268,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,18,217
4833,2018-06-01,2018,SALVATION ARMY KROC CENTER,SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,312,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,10,3209
4845,2018-06-01,2018,SDSU UPWARD BOUND,SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION,336,SFSP_LUNCH,SFSP_LUNCH_VENDED,11,386
4849,2018-06-01,2018,SDSU UPWARD BOUND STAR,SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION,336,SFSP_LUNCH,SFSP_LUNCH_VENDED,11,329
5145,2018-06-01,2018,BRENGLE TERRACE RECREATION CENTER,"VISTA, CITY OF",456,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,15,1380
5145,2018-06-01,2018,BRENGLE TERRACE RECREATION CENTER,"VISTA, CITY OF",456,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,15,1508
4261,2018-07-01,2018,BAKER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,1291
4261,2018-07-01,2018,BAKER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,1351
4265,2018-07-01,2018,BRONNER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,21,944
4265,2018-07-01,2018,BRONNER BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,21,1254
4269,2018-07-01,2018,CLAIREMONT BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,1848
4269,2018-07-01,2018,CLAIREMONT BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,2932
4273,2018-07-01,2018,CONRAD PREBYS ESCONDIDO,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,1617
4273,2018-07-01,2018,CONRAD PREBYS ESCONDIDO,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,2012
4281,2018-07-01,2018,ENCANTO BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,1392
4281,2018-07-01,2018,ENCANTO BRANCH,BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,1702
4297,2018-07-01,2018,PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,936
4297,2018-07-01,2018,PAYNE FAMILY BRANCH (FORMERLY NATIONAL CITY BRANCH),BOYS & GIRLS CLUB OF GREATER SAN DIEGO,60,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,21,931
